featureID	sC0C	s1C3A	s1C3B	s1C5A	s1C5B	s1C7A	s1C7B	s1C10A	s1C10B	s1C20A	s1C20B	s2C3A	s2C3B	s2C5A	s2C5B	s2C10A	s2C10B	s1M3A	s1M3B	s1M3C	s1M5C	s1M5A	s1M5B	s1M7A	s1M7B	s1M7C	s1M10A	s1M10B	s1M10C	s2M3A	s2M3B	s2M3C	s2M5A	s2M5B	s2M7A	s2M7B	s2M10B	s2M10A	s2M10C	s3M3A	s3M3B	s3M3C	s3M5A	s3M5B	s3M5C	s3M7A	s3M7B	s3M7C	s3M10A	s3M10B	s3M10C	s1G3A	s1G3B	s1G3C	s1G5A	s1G5B	s1G5C	s1G7A	s1G7B	s1G7C	s1G10A	s1G10B	s1G10C	s2G3A	s2G3B	s2G3C	s2G5A	s2G5B	s2G5C	s2G7A	s2G7B	s2G7C	s2G10A	s2G10B	s2G10C	s3G3A	s3G3B	s3G3C	s3G5A	s3G5B	s3G5C	s3G7A	s3G7B	s3G7C	s3G10A	s3G10B
OTU_18	0	0	0	0	0	0	0	0	0	2	5	0	1	0	8	3	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	13	7	12	7	8	3	1	3	7	6	10	10	8	9	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	3	2	4	6	5	5	4	3	4	5	5	2	5	0	7	10	0	1
OTU_20	20	60	17	21	24	17	6	37	7	67	31	343	41	36	25	56	3	8	12	8	1	2	4	0	2	2	5	1	3	7	18	3	4	11	3	4	11	28	5	8	9	5	35	50	23	26	39	50	7	12	3	32	11	5	2	7	6	1	0	5	2	0	1	4	2	1	5	2	2	7	9	67	2	3	5	3	9	9	6	78	72	15	35	40	14	11
OTU_21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0	0	0	0	12	17	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	17
OTU_22	551	50	81	15	69	32	20	54	170	85	50	3	3	2	2	10	0	97	91	50	12	12	17	2	4	10	67	38	102	5	6	0	0	2	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	98	62	81	12	6	8	4	11	6	5	4	4	6	6	4	0	1	0	1	1	2	2	1	0	0	2	0	0	1	0	0	1	1	0	0
OTU_23	59	24	39	36	44	40	29	34	27	49	67	21	23	13	21	54	66	10	24	10	15	20	12	7	5	10	24	29	27	49	63	60	58	77	62	42	42	196	86	62	26	18	79	52	58	59	61	54	69	25	67	65	36	61	99	90	90	83	89	79	50	29	66	87	97	112	28	34	52	70	78	81	70	98	62	9	6	8	23	45	28	59	43	50	68	29
OTU_24	35	22	30	20	47	31	22	16	14	35	37	8	4	4	8	9	19	6	10	9	0	8	10	2	1	8	27	15	16	14	18	26	24	19	41	16	17	67	40	4	5	1	5	8	4	5	10	5	9	5	4	33	10	21	21	19	13	12	18	11	8	8	14	26	21	38	9	12	10	31	21	36	25	36	17	1	3	1	2	6	3	12	2	12	11	7
OTU_25	1	0	2	70	53	97	156	23	27	1	1	183	106	16	70	0	4	2	1	3	1	0	1	1	1	2	4	1	2	4	3	0	0	0	8	63	42	1	0	2	17	8	12	37	28	20	3	37	11	1	4	1	4	3	2	1	1	0	0	0	0	0	1	0	3	14	101	105	68	30	43	32	3	1	0	13	16	18	1	8	12	7	4	12	1	4
OTU_26	1	0	4	0	1	0	0	0	0	0	0	2	6	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	4	6	0	0	0	2	0	0	22	10	0	0	0	1	0	0	0	0	1	12	6	11	1	3	2	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	16	4
OTU_27	10	4	2	3	8	7	3	2	1	2	11	0	1	0	2	1	5	1	2	2	2	0	4	0	1	0	3	4	1	14	17	20	40	17	23	10	20	591	127	3	2	1	4	7	1	2	5	8	16	14	15	12	7	4	22	15	6	22	12	8	13	4	24	30	12	9	7	6	5	17	13	7	19	8	9	3	0	0	3	3	4	5	4	5	30	20
OTU_28	1	5	5	27	31	25	20	24	11	21	25	36	30	8	39	7	8	2	4	2	2	2	3	1	0	1	4	3	3	5	3	7	9	10	17	19	15	4	1	5	9	1	17	39	24	39	14	27	12	2	8	5	3	2	1	4	1	5	6	8	2	0	3	8	7	44	43	36	40	56	83	63	28	32	23	2	7	6	12	20	23	27	18	21	7	4
