"","sC0C","s1C3A","s1C3B","s1C5A","s1C5B","s1C7A","s1C7B","s1C10A","s1C10B","s1C20A","s1C20B","s2C3A","s2C3B","s2C5A","s2C5B","s2C10A","s2C10B","s1M3A","s1M3B","s1M3C","s1M5C","s1M5A","s1M5B","s1M7A","s1M7B","s1M7C","s1M10A","s1M10B","s1M10C","s2M3A","s2M3B","s2M3C","s2M5A","s2M5B","s2M7A","s2M7B","s2M10B","s2M10A","s2M10C","s3M3A","s3M3B","s3M3C","s3M5A","s3M5B","s3M5C","s3M7A","s3M7B","s3M7C","s3M10A","s3M10B","s3M10C","s1G3A","s1G3B","s1G3C","s1G5A","s1G5B","s1G5C","s1G7A","s1G7B","s1G7C","s1G10A","s1G10B","s1G10C","s2G3A","s2G3B","s2G3C","s2G5A","s2G5B","s2G5C","s2G7A","s2G7B","s2G7C","s2G10A","s2G10B","s2G10C","s3G3A","s3G3B","s3G3C","s3G5A","s3G5B","s3G5C","s3G7A","s3G7B","s3G7C","s3G10A","s3G10B"
"OTU_471",0.475662254510675,0.406338055542346,0.431100917197261,0.293602066646157,-0.048839338103928,-0.141186463382081,-0.833637541665626,-0.0967585049376236,0.108871553451982,0.642478314914158,1.05423444744118,-1.6768872260546,-1.59113551705408,-2.87993535124463,-1.52466605187153,-0.865162059571805,-0.191694752575312,-0.0357332205823546,-2.21972138647734,-0.391736500277897,0.493055796166367,-0.473329691406521,-1.96540978058373,-1.80546872156477,0.568265156511433,-1.97439185167233,0.379745093572517,0.839185219452473,-0.491696054686859,0.214111516826563,-0.19008835817246,0.699634290351314,-2.75524872997202,0.671756041375074,0.406127633234947,-0.74735869367537,-0.188312008817228,0.789722297303749,0.239968764111817,-0.660562145978972,-2.62745629948427,-0.773727408735779,-1.43832226274263,-2.31956938736122,-1.6224547607363,-0.774437090930759,-1.32701012508448,-1.82451148018274,-0.961113904371162,-0.914288858380896,-1.88164391805735,0.137601669413995,0.547647736420066,-0.634308666592736,-0.209532131741208,0.903328682786409,0.799214537538663,1.0750555525354,-0.0306026303193896,0.526659803652159,0.555239865050615,-2.62412236205772,-0.223482966181352,0.854390803325515,0.648462647367088,0.465977886169215,-0.0144536975984728,-1.50053548347649,-0.598097843646975,-1.291491972786,-0.294060923304395,-0.86106646189517,-0.858474436833074,0.391620128184051,-0.787175046372475,-0.731562436105715,-0.669509047384595,-2.43579552692245,-2.91206658080692,-0.887311456332405,-1.57658550000017,-1.21255294445627,-1.34905199583426,-1.4554445707061,-1.55172748135224,-1.15399665841077
"OTU_620",2.48210974286699,2.50528661179953,2.16270957027535,2.11336518688275,2.33298904294085,1.83704880518053,1.6445358398897,1.62851641464266,1.86804046971252,2.62175466578753,2.35311662101774,0.033182816707372,0.461216888475967,0.439544830015235,0.20106384448358,1.46608174957672,1.54965938934434,1.12292308289083,1.7097673474713,1.92246313022305,1.14112379354138,1.24747208923496,1.70599810164202,2.2459290011798,1.8744596792535,1.09470364311866,2.17903977280378,2.00406846397664,1.6734131811165,2.26441018970545,1.82453716692944,2.57248664808083,2.20456978318227,2.11543836994583,2.09687040337243,1.58936442059068,1.58841310111452,2.58003091187351,2.2053320753557,0.799187136368364,1.25629018454179,1.10895519650258,0.020770032135685,0.491846766247134,-0.416113020597153,-0.117165970563644,0.830280924679238,-0.11797802384015,0.207934134668754,0.924034732581116,0.236937946483797,2.16964233314477,2.2574433407951,1.64900282134296,2.45298813391831,2.5442441826438,2.40620107684435,2.75581102730385,2.4486378692979,2.47469523797011,2.12417629985948,1.6258529183424,1.66720385301053,2.12026313738431,2.5593640073094,2.00207657444406,1.11250764881941,1.90884572743028,1.50439407058823,1.45149420299242,1.40464059893227,1.45111544033389,1.23397030355786,2.33965154886078,2.0011257273745,0.25312645233751,0.583277646995192,-0.234065781283427,-0.18856124685307,0.150491139331015,0.139637696589821,0.066557484453563,-0.365414299325757,-0.204648901478958,0.449752518857879,0.224383318330426
"OTU_640",6.7268336334851,6.86021862915129,6.64603443270954,6.3075087490769,6.35154959558846,6.06348385566556,5.92092014382594,6.14532883814921,5.98648226857284,6.89735919796716,6.95242792253471,4.55267287022553,4.67807669279208,5.17652538884214,3.93750415304706,5.54354751059287,5.91724850207062,5.45442584082401,5.97808086595466,5.85857165047337,5.05247292920458,5.30667347983166,5.66969561708011,6.32023663565215,5.94524461813611,5.86981418147324,6.69982662498796,6.44754290586017,6.29470126127897,6.51180646428706,6.45065746803087,6.87476297630054,6.54660890665091,6.41581262639864,6.3020463572578,5.87189414838916,5.83171744103439,6.99836321395169,6.71390489599063,4.91439391368127,5.17554875923106,4.86797774336974,4.2270358502584,4.16035293363491,4.36848731980666,4.52346628653572,5.08409470306762,3.80069476988376,4.7555305658718,5.08944474698424,4.78670651945742,6.58281229812436,6.50867998182058,6.24480416550014,6.49276511138713,6.70033253769184,6.66353223148069,6.49753362928884,6.75771472326883,6.37145490809816,7.03238565559447,6.06309044456243,5.96510213607551,6.48262470555009,6.79755755230607,6.5217298973357,5.38115849835949,5.72063352893121,5.70393524458672,5.6268441062988,5.61537830957932,5.43965789556082,5.54952058677124,6.36650146124785,5.9185322608398,4.42593318954782,4.89184649231315,4.4699969373215,4.7612857343559,4.20422737900272,3.75502788783295,4.17054876503406,4.18913885034562,4.06726405687779,4.80611478515586,4.51662033448455
"OTU_403",0.0225549959313369,0.1337596504346,-0.720230635301117,-1.15876665730766,-1.75656855961373,-3.02243476750878,-0.471233817163524,-0.956569733475627,-0.104698410193965,-0.681119076948224,0.0566497499191563,-3.08294136873385,-1.59113551705408,-2.87993535124463,-3.3534129267565,-0.865162059571805,-0.400199163900622,-2.10927174677547,-2.21972138647734,-0.391736500277897,-0.443171644068288,-1.92079603461384,-1.96540978058373,-1.80546872156477,-1.7083168145113,-1.97439185167233,-0.996456388345234,0.0375902090467353,-1.0514351475534,0.214111516826563,-0.19008835817246,0.551516176590379,-1.24249838910266,-0.103420929019572,-0.559592520716292,-0.483822061794392,-1.02438895272102,0.707857832299018,-0.905562280178128,-0.660562145978972,-0.274064488571131,-0.773727408735779,-3.18422839060752,-3.55955523082649,-3.13846175280918,-1.96892101520052,-1.32701012508448,-1.82451148018274,-2.30681271170091,-3.04290878180828,-3.19816268783311,0.137601669413995,-0.707340375583208,-2.76219235696339,-0.209532131741208,0.249426350393762,-0.217010633437921,-0.581407043704305,-2.44990738660041,0.146023923938717,-2.44821579560643,-2.62412236205772,-2.99318665970867,-1.03428679689106,-0.372935084882297,0.0777479640856793,-1.43592563372786,0.0575152637522844,-1.51158930612719,-1.291491972786,-1.07371559603659,-0.86106646189517,-1.75510651898251,-0.480853922392592,-3.06270484342355,-0.731562436105715,-2.46143461356715,-2.43579552692245,-2.91206658080692,-1.82296078434643,-3.34691433904785,-3.21119312846983,-3.16356755903888,-1.10794747217938,-3.16116539378634,-1.70576020792246
"OTU_24",1.92941674918367,2.07301659175396,1.85310237768518,1.64748753087417,1.81650411279416,1.63519933200609,1.44214944357294,1.03939983916514,1.11344388073701,2.10160665438281,2.01478921038087,0.161157719908745,-0.408774997754028,0.718142859814252,-0.266729101860685,0.545071238680165,1.09886914410387,0.975329321417934,1.25148696263559,1.64040591103719,-1.9355866533105,1.375730050987,1.52875176954258,1.18152109566397,0.568265156511433,1.76434513587449,2.01115035172008,1.58244278659068,1.45435499567497,1.41845199639967,1.25658577984291,1.98493197165899,1.69840939406815,1.40352543171042,1.70197871074518,0.84591419145598,0.995367299004069,1.76453342766415,1.94486906059413,0.586085034207391,0.583507828062057,-0.773727408735779,-0.632619112722171,-0.53210549802705,-0.416113020597153,-0.565489889340387,0.154360021253524,-1.02253089695096,-0.407434389521448,-0.0720762420114518,-0.719806672506962,1.97874033731526,1.43547377582255,1.60306076529546,2.0358296091028,2.02824062218487,1.54901246896025,1.75360910048069,2.08422201921014,1.78869011147069,1.90361272057848,1.6258529183424,1.26645897026448,2.01204030643721,1.8721374006809,1.87944673704692,0.55008794350751,0.723982018748501,0.532037508614424,1.30346798307632,0.768932759159602,1.25243152552646,1.15811331373105,1.65075208585386,1.25786027403962,-0.731562436105715,0.311340965806782,-0.822302050768023,-0.18856124685307,-0.239421375699651,-1.22955384856995,0.066557484453563,-1.34905199583426,0.184561738069885,-0.0256711778571947,-0.0160566550782359
"OTU_518",0.0225549959313369,0.1337596504346,-0.0969908134482509,0.0810322017917926,-0.048839338103928,-3.02243476750878,-0.833637541665626,-1.56214241916003,-0.751306020267947,0.185332499012233,0.622398887948469,-1.11448021768567,-2.99364773273503,-2.87993535124463,-3.3534129267565,-1.44930394200071,-3.02212840822816,-2.10927174677547,-2.21972138647734,-2.1566712534756,-1.9355866533105,-0.473329691406521,-0.53216808638428,0.537582124414008,0.568265156511433,-1.97439185167233,-0.0882317940832795,-0.915745183758084,-0.491696054686859,-2.50132072154959,-1.38149252957738,0.551516176590379,-0.036799985957547,-0.103420929019572,-1.18464247794953,-0.483822061794392,-0.662690554634622,-0.313280405542518,0.093335914504225,-2.41052741382192,-0.876415082085311,-0.773727408735779,-1.97063814860055,-2.31956938736122,-1.04560937343995,-3.42685936514739,-3.22241289303339,-3.53913646219167,-3.54543703063013,-3.04290878180828,-1.88164391805735,-1.27986615156752,-0.0997879988412684,-2.76219235696339,-0.209532131741208,-0.70600464879363,-2.34878247493992,0.410471847363487,0.344752535368825,0.146023923938717,0.555239865050615,-2.62412236205772,-1.20399124910806,-0.0776088879896495,-0.0053321790825418,-0.302408852954184,-1.43592563372786,-0.321962804145668,-0.953972196428099,-0.935602314960542,-1.07371559603659,-0.656159591332218,-0.858474436833074,-0.0994940237968738,0.0654882406039903,-2.55474729832253,-0.0633581454590644,-2.43579552692245,-2.91206658080692,-1.82296078434643,-2.11249221968686,-1.55245531884642,-1.89126783407022,-3.23354025820132,-1.55172748135224,-0.800479955709044
"OTU_542",1.80891188711753,1.81772044730304,1.54668624724142,1.69575470458043,1.30325962325325,1.20214971697453,0.997558427158538,1.48119978845858,1.04041922771979,1.59411762579312,2.3720717115831,0.161157719908745,0.245940207259814,-2.87993535124463,-0.915234618703934,0.740617737338926,1.04570308986994,-0.0357332205823546,0.761169242323351,-0.391736500277897,0.130725092428296,0.0947273049374218,1.18501034236303,1.57003024754595,1.20873154620376,1.09470364311866,2.01115035172008,1.27833468500716,1.32373153670881,1.90709290143135,1.7270862013825,1.72557540526689,2.15364558912682,1.45411806009314,1.45620534651837,1.11321910721748,0.804857381758431,1.95315079074753,1.20948478870937,-2.41052741382192,-0.274064488571131,-0.188236318675203,-0.318671843947193,-0.22695044357406,0.357622749100347,-0.565489889340387,-0.0602804077239441,-0.19530155170786,-0.130653857412574,-0.549299072820908,-0.513581637862741,1.37957455352204,1.6145819883283,1.20393126339213,1.63623339813738,1.79531129120352,2.1106979398902,1.57422335787936,2.4486378692979,1.78869011147069,1.22326649094966,0.946869542365429,1.51462905854832,1.4688887907323,1.82393737053529,1.6117782537816,-0.0144536975984728,0.547053798678357,0.624357568423433,0.7676448801174,0.439686461995262,0.623071520227723,0.517843750608149,1.80369097210979,0.993677906192779,-0.731562436105715,-0.669509047384595,-0.822302050768023,-2.91206658080692,-0.0919064967755823,-1.57658550000017,-1.21255294445627,-0.740872906018586,-0.646044141553521,0.0577104310818566,-0.800479955709044
"OTU_131",-0.189480856544412,-2.68030601128725,-0.720230635301117,-1.15876665730766,-0.048839338103928,-0.976729720656047,-1.40772053022171,-0.0967585049376236,-0.376625403654421,0.955032482118062,0.508091391042072,-3.08294136873385,-1.59113551705408,-2.87993535124463,-1.17422565159112,0.153563766869498,-0.400199163900622,-2.10927174677547,-0.804460672366154,-2.1566712534756,-0.443171644068288,-0.473329691406521,-1.96540978058373,-1.80546872156477,0.568265156511433,-1.97439185167233,-0.996456388345234,0.0375902090467353,-2.43859306916871,-0.414956926840386,-0.19008835817246,0.377579537260313,-0.302728061002002,-0.103420929019572,-0.824056440062682,-1.10621454460131,-1.02438895272102,-0.313280405542518,0.093335914504225,-0.660562145978972,-0.876415082085311,-0.773727408735779,-1.09277943500835,-1.78271837007642,-1.04560937343995,-1.39947686059375,-0.711963849126317,-0.853756217094135,-1.42286551187459,-1.49499934809342,-0.719806672506962,0.98172076973364,-0.707340375583208,0.381581899224621,0.637724227204828,-2.31491982095186,0.6254439260155,1.0750555525354,1.40175386441196,1.78869011147069,1.22326649094966,-2.62412236205772,0.437822311900868,0.576667253419762,1.47255801952144,0.74492967595082,-0.491394540950211,-2.88647321583019,-0.598097843646975,0.589018394636083,-0.0544789615412071,-0.340944827413241,0.0498433339099229,0.78708185609573,0.518931680050343,-2.55474729832253,-2.46143461356715,-2.43579552692245,-0.818128885648443,-0.0919064967755823,-1.57658550000017,-0.0170313024138498,-1.89126783407022,-0.204648901478958,0.0577104310818566,-0.800479955709044
"OTU_189",-0.458919955020072,0.406338055542346,-0.360823286330072,-0.189271778958181,-1.75656855961373,-0.976729720656047,-0.833637541665626,-0.58208753502109,-1.35740760376899,0.512023335381688,-1.3736648220572,-3.08294136873385,-1.02922421536776,-2.87993535124463,-2.06886344349335,-1.44930394200071,-0.400199163900622,-2.10927174677547,-2.21972138647734,-2.1566712534756,-1.9355866533105,-1.92079603461384,-0.53216808638428,-1.80546872156477,-1.7083168145113,-1.97439185167233,-2.343368060895,-2.51115301844624,-2.43859306916871,-0.99108784891169,-0.813965248787447,-0.466252162313831,-1.24249838910266,-0.370248977209775,-0.559592520716292,-1.67130350026793,-0.662690554634622,-0.201360264367986,-1.46561686581491,-0.0583138776909831,-0.274064488571131,-2.36273889022327,-1.09277943500835,-3.55955523082649,-0.682124859890916,-1.03889745853413,-0.711963849126317,-1.48093284784071,-1.42286551187459,-3.04290878180828,-0.979912161225396,-1.27986615156752,-2.51481604670393,-0.634308666592736,0.158170301668273,-0.118276083015719,0.148109130619769,-2.46625517698767,-0.0306026303193896,-0.476133195683939,0.555239865050615,-2.62412236205772,-0.598088868109313,0.190826522708052,-0.0053321790825418,0.465977886169215,-0.856057109553763,-0.584316092620201,-0.953972196428099,-1.291491972786,0.222823057447686,-0.656159591332218,-0.858474436833074,0.56895250327953,-3.06270484342355,-2.55474729832253,-0.0633581454590644,-2.43579552692245,-0.818128885648443,-3.31210320198984,-2.11249221968686,-0.320226707305784,-0.999422698535311,-3.23354025820132,-0.596216036324808,-1.70576020792246
"OTU_23",2.44890276517551,2.15930912737591,2.11308667257524,2.23038228172887,1.75101925226753,1.88795430000923,1.71526294724126,1.78656589937785,1.76341584858819,2.43664550656801,2.60546021632676,1.101797203495,1.27610855658554,1.87766313796771,0.669683311053896,2.31312612979245,2.33246108198697,1.46768612943801,2.10865966260266,1.74352028063744,2.02935818686849,2.26956358557149,1.70599810164202,2.39759115290207,2.09202803623383,1.98272051272841,1.89497210592817,2.23360381926786,1.96926339481556,2.65693810177783,2.49721774832846,2.81547398778845,2.57395414598858,2.79228401872186,2.11305113600424,1.79891535170418,1.88962521213067,2.83361060749959,2.70592459677247,3.27906476717657,2.19906012210421,1.90247678000409,2.05156518607945,1.29784617927594,2.19489582472454,1.8488462016529,1.93367516641454,1.28093528578775,1.5910055569469,1.49548861034383,2.01643402104743,2.65247942845556,2.70240793765392,2.66104188963335,3.57710858950919,3.57330648007929,3.46636408601016,3.67488807499572,3.67388486807374,3.74791564474947,3.72531328504907,2.90332395864977,2.80586336778943,3.21321490533753,3.39303270262457,2.95475461920503,1.66491852932856,1.74778485702443,2.15381157354541,2.11192301985997,2.06778155019188,2.05727858473805,2.17811028247935,2.64682292798888,2.54208678691517,1.31068537291106,0.972745475120353,1.06562575894505,2.19197841399478,1.73453056100414,0.890360755123467,1.6286852006218,1.55018068511693,1.58645394032614,1.75881553204178,1.36770812966874
"OTU_595",-1.42245899277263,0.1337596504346,-0.360823286330072,-1.15876665730766,-0.048839338103928,-1.54828866737925,-1.40772053022171,-0.58208753502109,-3.14879072950169,-0.303035193987514,-1.3736648220572,-3.08294136873385,-2.99364773273503,-2.87993535124463,-2.06886344349335,-3.02652316095481,-1.02320242821185,-0.610439751470793,-2.21972138647734,-0.391736500277897,-0.443171644068288,-1.92079603461384,-1.96540978058373,-1.80546872156477,-1.7083168145113,-1.97439185167233,-0.996456388345234,-0.915745183758084,-1.0514351475534,0.214111516826563,-0.813965248787447,-1.04920629786085,-0.66605539603913,-0.735267042134886,-0.824056440062682,-1.10621454460131,-3.07646200254558,-0.100714939679564,-0.286253138088062,-2.41052741382192,-0.876415082085311,-2.36273889022327,-3.18422839060752,-3.55955523082649,-3.13846175280918,-1.39947686059375,-0.972928772939509,-3.53913646219167,-3.54543703063013,-3.04290878180828,-3.19816268783311,-1.27986615156752,-0.707340375583208,-1.21494083504528,-2.40617586967735,-2.31491982095186,-2.34878247493992,0.0327769485207678,0.830819923097074,-0.476133195683939,-0.0894835822001117,-2.62412236205772,-0.598088868109313,-0.445657549397579,-0.0053321790825418,-1.48583054491974,-2.9767876797147,-0.940970652891625,-2.88400366622295,-1.291491972786,-1.42352809539491,-3.26505331977207,-1.75510651898251,-1.10498730008021,-1.38252200317091,-2.55474729832253,-0.669509047384595,-2.43579552692245,-0.818128885648443,-3.31210320198984,-1.57658550000017,-3.21119312846983,-3.16356755903888,-1.9924776348392,-2.06255310511824,-1.70576020792246
