otu name,sC0C,s1C3A,s1C3B,s1G3A,s1G3B,s1G3C,s1M3A,s1M3B,s1M3C,s1M5C,s1C5A,s1C5B,s1G5A,s1G5B,s1G5C,s1M5A,s1M5B,s1C7A,s1C7B,s1G7A,s1G7B,s1G7C,s1M7A,s1M7B,s1M7C,s1C10A,s1C10B,s1G10A,s1G10B,s1G10C,s1M10A,s1M10B,s1M10C,s2C3A,s2C3B,s2G3A,s2G3B,s2G3C,s2M3A,s2M3B,s2M3C,s2C5A,s2C5B,s2G5A,s2G5B,s2G5C,s2M5A,s2M5B,s2G7A,s2G7B,s2G7C,s2M7A,s2M7B,s2C10A,s2C10B,s2G10A,s2G10B,s2G10C,s2M10B,s1C20B,s1C20A,s3G3A,s3G3B,s3G3C,s3M3A,s3M3B,s3M3C,s3G5A,s3G5B,s3G5C,s3M5A,s3M5B,s3M5C,s3G7A,s3G7B,s3G7C,s3M7A,s3M7B,s3M7C,s3M10A,s3M10B,s3M10C,s3G10A,s3G10B,s2M10A,s2M10C
OTU_1,0.0030534351145038168,0.0055979643765903305,0.0066157760814249365,0.010178117048346057,0.00916030534351145,0.015267175572519083,0.030025445292620866,0.04783715012722646,0.0183206106870229,0.04529262086513995,0.015267175572519083,0.007633587786259542,0.008142493638676845,0.0035623409669211198,0.007633587786259542,0.04173027989821883,0.044783715012722644,0.011704834605597965,0.01272264631043257,0.0061068702290076335,0.0061068702290076335,0.002035623409669211,0.019338422391857506,0.017302798982188294,0.026463104325699746,0.002544529262086514,0.004071246819338422,0.0035623409669211198,0.005089058524173028,0.0066157760814249365,0.035114503816793895,0.03206106870229008,0.03918575063613232,0.021374045801526718,0.01984732824427481,0.0061068702290076335,0.008142493638676845,0.009669211195928753,0.019338422391857506,0.015776081424936386,0.015776081424936386,0.0015267175572519084,0.011195928753180661,0.022900763358778626,0.011704834605597965,0.015267175572519083,0.016793893129770993,0.00916030534351145,0.002544529262086514,0.002035623409669211,0.004071246819338422,0.014249363867684479,0.011704834605597965,0.0,0.0005089058524173028,0.0005089058524173028,0.0015267175572519084,0.0010178117048346056,0.019338422391857506,0.0,0.0,0.01628498727735369,0.015267175572519083,0.02340966921119593,0.0030534351145038168,0.013740458015267175,0.022900763358778626,0.0005089058524173028,0.0071246819338422395,0.005089058524173028,0.004580152671755725,0.0030534351145038168,0.004580152671755725,0.0030534351145038168,0.0015267175572519084,0.0005089058524173028,0.0010178117048346056,0.002035623409669211,0.0055979643765903305,0.009669211195928753,0.01272264631043257,0.011195928753180661,0.008142493638676845,0.008142493638676845,0.002544529262086514,0.002035623409669211
OTU_2,0.01330315747174804,0.013876347204373226,0.024773017624067903,0.007354418527069188,0.0033572541482332335,0.009679021331604665,0.0008939030354035642,0.0016081156387539946,0.0009280214718693492,0.0016801434490706518,0.01171096377001141,0.016843892989419493,0.005251964653299822,0.007425688149908828,0.007831318450113159,0.001557317077793826,0.0012745131488663202,0.018963026987683245,0.01609177101221819,0.0040752576889687515,0.003925136568519298,0.0028507849135855825,0.0007164871657814828,0.000562575107946942,0.0015338132660062853,0.009907235762186916,0.010114220943412678,0.0024193762391626576,0.004519555550500973,0.004594616110725699,0.001996307626986925,0.0017779496336059017,0.0022267966200002274,0.012667796366007423,0.012015755135772422,0.02014731582678449,0.019688612403188935,0.026760985188807637,0.01642385712715183,0.02030729338443517,0.015817307145537876,0.008011008882166293,0.018862188053239925,0.01022036719019512,0.012950600294934929,0.01608570551240205,0.013191703912626475,0.018596064248806804,0.015103852729664463,0.014872605549174144,0.014288043004393696,0.019131344607581115,0.011167343348989904,0.011258325846231997,0.010711672675302422,0.00952359289881609,0.008801798420695485,0.005603005455158897,0.00810654050427049,0.009782134828479038,0.005228460841512281,0.005392229336548048,0.005207989779632809,0.006309636183739153,0.00992694863658937,0.007687262829479845,0.005832736260695182,0.007424171774954793,0.01600230488993013,0.029833160845682313,0.018016809016365477,0.019075238734281824,0.011456970965210568,0.018552847562616808,0.02643951369855224,0.025445529916182374,0.016823421927540022,0.009095216974301235,0.023667580282576473,0.013524548215037133,0.009293103905802787,0.014920371360226243,0.01272162767687566,0.011838339266150341,0.03187875065867537,0.042684438581127956
OTU_3,0.01643365346719492,0.015728390964342757,0.023309962870003528,0.017916779024663446,0.01110788441992159,0.014089692795950964,0.003920429795266444,0.006705179530793005,0.003702628139973864,0.002748449459644465,0.01627289510257421,0.02385965276193242,0.007892717127507312,0.01080192495177249,0.009790702980771225,0.003707813893671306,0.004859051214503516,0.01883984318280819,0.009951461345391939,0.012440623120164284,0.019959965981455746,0.009754402704889129,0.0013171814391503662,0.0012808811632682693,0.00284697877989587,0.015308344914849925,0.010941940301603436,0.007789002053558464,0.006233275944325749,0.01366964674645813,0.007591943413055653,0.007752701777676368,0.006731108299280217,0.008048289738430584,0.006886680910203489,0.01727374556618059,0.019851065153809456,0.03690182331100002,0.0069177954323881435,0.007425999294737497,0.00578211537264826,0.0030958949573731045,0.006819266112136738,0.008966168142877887,0.014307494451243543,0.013482959613350205,0.004464933933497894,0.004796822170134207,0.02031778298657927,0.03184052770229625,0.017921964778360888,0.005517641934078699,0.004304175568877181,0.012580638469995228,0.009443257483042585,0.025441307639652348,0.039136883154597686,0.018632413034910495,0.005190939451139829,0.04036072102719409,0.029761040469621854,0.002198759567715572,0.0031633097554398556,0.003106266464767989,0.004153788711651352,0.0033136966126656848,0.002146902030741148,0.005149453421560289,0.01045447945404385,0.00743118504843494,0.007851231097927772,0.006482192121802983,0.006596278703146715,0.015598747121906698,0.010262606567238482,0.010718952892613412,0.012310979277728226,0.00925657034993466,0.0055643137173556805,0.021816465805140118,0.006611835964239043,0.011792403907983987,0.025410193117467693,0.010511522744715717,0.016552925802236097,0.010817482212864818
OTU_4,0.003629958826311005,0.0024412044290621025,0.0032249376717445473,0.020091818641912142,0.012944753037485573,0.020515533080535515,0.0025782885121461343,0.004016979040674509,0.002271580184841962,0.004602009597270504,0.0017135510385503981,0.0040578273280581344,0.04513735755890635,0.040469575295509666,0.04331580087913823,0.005846151502836187,0.006379256270385199,0.003825892136981616,0.002636445395878754,0.024699366990014324,0.029088134680265224,0.027497128503865702,0.0009810512410609754,0.0008972776347318448,0.0024931302181090843,0.0031467028162470946,0.002853149022168158,0.00856913988045991,0.009954519932233383,0.02021851756718678,0.00406959717357545,0.0032249376717445473,0.004151986092196662,0.008731840686140453,0.004453155668669156,0.016297081978358715,0.0197588012481575,0.019949195807996433,0.009885285546837408,0.014214511665647767,0.010801948809480126,0.0034665656767765025,0.010580398776213003,0.0069310543219911255,0.00694628588677824,0.01366617533331164,0.0103636951499236,0.01227110246758273,0.018947374251316665,0.01913569177959372,0.02391147968420812,0.012775128793265433,0.01050562563998535,0.011726920198370362,0.01176084504721439,0.016382932616249724,0.012296719190179242,0.011735920668471837,0.006584190051157288,0.005143422491067033,0.003150856879370853,0.0059264633898955185,0.0049703365275770945,0.004310532834753446,0.0032263223594524667,0.0052008870309456934,0.0028462255836285604,0.007200376081181471,0.014933856929911955,0.014788464720580406,0.013846184735341176,0.020386757123699,0.0051482688980447515,0.018952913002148342,0.020318907426010942,0.019007608166611165,0.009426953915516048,0.01720197539548412,0.012412340613790521,0.013226536986047194,0.00782902430057693,0.007870564931814516,0.018664205615047124,0.011035268688264564,0.020825703127109484,0.016525555450165437
OTU_5,0.006869313519508743,0.002034283447100515,0.0023679203599671775,0.0018052462150244817,0.0013670096213671899,0.0018016393294799772,0.0010964932055293555,0.001327333880377641,0.0006492393980108026,0.000557263816625939,0.0035870476740096843,0.005453610943290742,0.0022741413358100615,0.00243464774254051,0.002099207386901595,0.0006294015275160281,0.0007736769492962065,0.004362528066078143,0.0027773018692684335,0.0033742414268839215,0.0022669275647210527,0.003004535658572214,0.00042020216593476945,0.00032642314177765353,0.0005446397172201733,0.003527534062525361,0.0015671917690871875,0.007527570131380806,0.0044959828312248085,0.008104671818501519,0.002122652142940874,0.0011019035338461123,0.001469805859385567,0.0017006465342338524,0.0014391473322572792,0.013884705903569916,0.006084815913579023,0.015120064202562691,0.008198450842658635,0.014052426081389372,0.013496965707535686,0.002025266233239254,0.0036555784993552694,0.006254339534170732,0.016479860052840873,0.007392311923461889,0.013471717508724154,0.015491573413646651,0.011435630618851387,0.011729591790728501,0.009507750295313753,0.013740430481789736,0.010578995302031578,0.006714217441095051,0.007803496875535397,0.005835940811008215,0.018876635497164087,0.0035239271769808567,0.008393222662061876,0.005466235042696508,0.004591565298154176,0.001958538850665921,0.001664577678788808,0.0023210308478886195,0.08770322545739817,0.022734199587011606,0.02217332888484116,0.003718698996384097,0.006434683811395955,0.004726823506073094,0.10162219677364089,0.03752062687670763,0.07551375575974535,0.013248090604964877,0.006833244664063698,0.007985644595532873,0.052913010937880416,0.023168829295124392,0.030891171245908438,0.040716327469138586,0.012905436478236955,0.04715822505162355,0.016669221543927356,0.003987411969449679,0.02500473403727716,0.009359867987989072
OTU_6,0.004417894090869963,0.006121000130509756,0.008627527932327453,0.010606925902854461,0.008151768962558509,0.012444706903780987,0.03780293767279816,0.0423531927221836,0.025812700913290614,0.0427914648470583,0.011081296470960653,0.007348347200380607,0.003884285051819778,0.0052102086397458666,0.005633208346330316,0.0440664803740169,0.044918958994945295,0.009360604010259363,0.012853822593737938,0.005039898035781888,0.004023588018649011,0.0016688587986252972,0.015235394245908149,0.017171288964335663,0.027785156875503873,0.0025953855082336847,0.0032229430597966085,0.004168907392683494,0.004505826196177453,0.00567717439898406,0.041711751153993185,0.03059805864423503,0.04258598140097133,0.020703382794371235,0.026326872329062303,0.007141012552076632,0.005954854731534027,0.00922268944509288,0.023171035349631934,0.016078616855751546,0.015850918983060572,0.0018044593610205308,0.00667080718895869,0.018823486943007964,0.012305403936951755,0.018667985956779983,0.017079191654039923,0.008265617898903996,0.0026435167658756787,0.0017734517238857845,0.002022901222626504,0.010254271880516004,0.008533116619260463,0.0004489165376224455,0.0005002873991441892,0.001201430238832854,0.0006692096014454187,0.0005118574130004378,0.018276919488438778,0.0007103988507736636,0.002625930344814181,0.018549509014891996,0.02042107445627877,0.02689010060358448,0.001193099828856355,0.01448426894636049,0.02212788290035256,0.0004466025348511957,0.003935193112787272,0.00255280785724269,0.004396605265374466,0.0016827428152527955,0.0027305232700746682,0.0014448633303683245,0.0015499190561830618,0.001827136588178778,0.0017729889233315346,0.001473556964731821,0.0051801266037196205,0.00830773274934074,0.012247553867670511,0.01258586107282722,0.0082313706578895,0.014687901190230465,0.0018303761920585276,0.0017341136767745392
OTU_7,0.004490709384846432,0.0336827743259028,0.06607477644610658,0.04703465944226862,0.04128998694504157,0.024885401022802005,0.0014085613043179521,0.001315311601244638,0.000839247327659825,0.0005963073117582967,0.016164099845892597,0.054092189601185746,0.0012564170519351768,0.002525103801643158,0.005580258547071468,0.0008613327836508731,0.000954582486724187,0.011980132905366274,0.00511646397125946,0.0011926146235165934,0.0015631594962552883,0.0008785103605327994,0.00031901214209291597,0.00020367698302855403,0.0005325048833397136,0.004525064538610285,0.004363104528009266,0.0003656369936295729,0.0008048921738959726,0.000932497030733139,0.0008907800583056038,0.0005840376139854923,0.0010257467338064528,0.008183888414460576,0.01890024244922799,0.003315272338211765,0.0008662406627599949,0.0014281928207544392,0.012151908674185537,0.026372488392865906,0.018161606643305163,0.005644060975490052,0.013980093642333402,0.0007067345917135369,0.0007386358059228285,0.001023292794251892,0.03130981477664242,0.04534389508917616,0.001180344925743789,0.0007533594432501938,0.0009251352120694563,0.028635020662171048,0.014065981526743033,0.017074511420634687,0.020424138912610305,0.0006306624655221493,0.0006502939819586364,0.00039263032872974274,0.0023705056097058216,0.004907879109121784,0.0021496510497953413,0.006556926489786704,0.010127408541672801,0.014362908212844902,0.007501693218292647,0.013953100307233231,0.04133661179657823,0.0046011366648016725,0.013035326913827458,0.014299105784426318,0.0275086624066276,0.02550379379055135,0.009469752741050483,0.013045142672045703,0.01158014075797285,0.016007047714400698,0.01350893724785771,0.029147894029074275,0.03203127300568332,0.009889376404880395,0.009842751553343737,0.011656212884164237,0.011155609215033816,0.0017570207210655987,0.007693100503548397,0.023813029437458895
OTU_8,0.0024191090647671244,0.0009939465368044745,0.002143434325551634,0.001189953805512736,0.0004716820079237519,0.0006158421926511185,0.0006095193775314972,0.0008080557722876071,0.0007043616043258172,0.000321199008076764,0.0013189392339530114,0.0033447691982796883,0.0008080557722876071,0.0009408348897996553,0.0009737135284216863,0.0003768397811294318,0.00033637376436385525,0.004752227843907398,0.003910028869973836,0.001618640670623063,0.002563269249494491,0.0019663955022022365,0.0001100169830814113,0.0002086528989475042,0.00031614075598106694,0.010660266291681578,0.011040899761882782,0.0006284878228903612,0.0010470581838092938,0.0037304609205765903,0.0004173057978950084,0.0011153445871012043,0.0008333470327660925,0.007909841714646296,0.006552965589975556,0.001497242620326333,0.0021889585944129077,0.001203863998775903,0.0002870558064308088,0.00041477667184715983,0.00033384463831600674,0.005083543356175556,0.014700545153119613,0.003631825004710497,0.004506902617266091,0.0037759851894378638,0.0005134125877132527,0.0014757450489196206,0.025564406091653,0.027454927812419778,0.033376876453457126,0.001057174688000688,0.0012544465197328737,0.03526866273724783,0.06127819501332217,0.052131610661277944,0.02887123839921496,0.02656088175450532,0.006474562682492252,0.024537580916226494,0.010742462888236656,0.003400409971332356,0.001642667368077624,0.0030804755262795165,0.0012342135113500854,0.00037557521810550757,0.0003515485206509465,0.016073860597101367,0.029423852440669866,0.04464919124871805,0.004780048230433732,0.012053814744046121,0.010848686182246294,0.08444372504859084,0.045225831987627516,0.045646931474594296,0.008528213033345262,0.02445664888269534,0.022188022817775203,0.010535074552313076,0.019574171047323743,0.021216838415401364,0.08687168605452543,0.0444797398035122,0.004714290953189671,0.0022597741237526665
OTU_9,0.0005966165706999929,0.0005241304452878443,0.0006635268403112071,0.00037544095726292393,0.0003791581944635469,0.000408896092068531,0.0005613028172940744,0.0007211440169208638,0.000416330566469777,0.0004497857012753841,0.027330986517580674,0.020547028626443684,0.0002509135110420531,0.0002490548924417416,0.0002639238412442336,0.0004460684640747611,0.0005166959708865983,0.044543653375065516,0.06044413550073044,0.00022489285063769204,0.0001691342926283469,0.00014868948802492036,0.0002081652832348885,0.0001747101484292814,0.00026578245984454514,0.009025451923112666,0.010086723143890535,9.850678581650973e-05,0.00016355843682741239,0.00018772047863146196,0.00043491675247289203,0.00035127891545887435,0.0004590787942769416,0.04002535155770825,0.026951828323117127,0.0009200162071541947,0.0004943925476828602,0.004873297970016764,0.00035499615265949735,0.00031410654345264425,0.000615202756703108,0.014287201180594535,0.07422579242204025,0.03423017876193698,0.07913998000126386,0.041051309025080196,0.0006244958497046655,0.0006839716449146336,0.03581372180940238,0.06168011686993759,0.0470769505272901,0.008001353074341027,0.07158283677239728,0.0009497541047591788,0.0007453060587249133,0.002150421720560411,0.0013028916388183646,0.002395759375801529,0.03478776434203043,0.0007397302029239788,0.0006523751287093381,0.0075013846708572324,0.008761528081868432,0.007778318842303646,0.0027730589516647645,0.011447231959318556,0.004590787942769416,0.001466450075645777,0.008222528687778096,0.01250106870569518,0.006956809420965961,0.04238765579870417,0.020736607723675457,0.005179970039068163,0.004226498697108361,0.010372950408338506,0.01844493098949137,0.0019664184791295717,0.03915551805276247,0.011660973098354378,0.0007769025749302089,0.0030109621325046373,0.00059289933349937,0.0008791265979473416,0.0001301033020218053,0.0001208102090202478
OTU_10,0.0059578245198773465,0.001291086126203669,0.003837394875105349,0.0006410601251636272,0.0016273064715692075,0.0036849749852063047,0.001317983753832912,0.0010221098499112377,0.001147632112181039,0.0012776373123890472,0.0012193591191923538,0.019868380942134237,0.0019142144996144674,0.0014121254505352627,0.001663169975074865,0.0018738680581706028,0.0013090178779564976,0.0013000520020800832,0.0006320942492872129,0.00034070328330374595,0.001927663313429089,0.0015779941542489286,0.0002913909659834669,0.001515233023114028,0.005097100435741567,0.006320942492872129,0.0058681657611132036,0.0006320942492872129,0.0017528287338390088,0.003250130005200208,0.0055678089192533215,0.025221008840353613,0.018604192443559812,0.008087220040525759,0.006320942492872129,0.000999695160220202,0.0046219090142916065,0.0014479889540409204,0.0008472752703211577,0.005935409830186311,0.0003496691591801603,0.0012283249950687683,0.02266573421557552,0.0011655638639338677,0.0032187494396327576,0.002026287948069647,0.001075905105169724,0.0026942457008625174,0.010866641562214212,0.010333171947567558,0.02213674753886707,0.0035549697849982967,0.004707084835117542,0.017483457959008016,0.00870586547599835,0.06021482238599889,0.0577267918302939,0.03729356070794556,0.002936324349525705,0.008495167392902613,0.007638926246705041,0.003057363673857299,0.0006993383183603206,0.002313195976114907,0.0013135008158947047,0.0003317374074273316,0.00032277153155091723,0.014358850216077608,0.0037746337439704485,0.021966395897215198,0.05652088152491617,0.040037118726128355,0.011422525866551904,0.026247601628203058,0.01631341115713594,0.012727060806570194,0.023943371527964566,0.08104255204690947,0.05153585453762978,0.056892965373787366,0.026624168415012462,0.03260440762458085,0.021926049455771333,0.026471748525113418,0.01620582064661897,0.005603672422758979
