sampleID,chao1,shannon,simpson,simpson_e,faith_pd
sC0C,193.3846153846154,6.088561648099196,0.9753943248556244,0.27094020495473087,12.995666660000001
s1C3A,166.95652173913044,5.83254113809464,0.9659876209362418,0.29401060070671375,8.749692079999999
s1C3B,142.76315789473685,6.274116610689326,0.9793183848355009,0.37775096083455345,11.66556731
s1G3A,192.40625,6.3334222271155625,0.9790196211115982,0.3264628872970226,13.16968661
s1G3B,169.15384615384616,5.688752097078166,0.9663943317178995,0.31996650332260296,8.53438547
s1G3C,224.66666666666669,6.412096086034406,0.9818452209520917,0.3991443130468224,11.35701417
s1M3A,108.0,4.943562940744238,0.9298362864796431,0.20360544744498904,7.09540801
s1M3B,110.33333333333333,5.4217305733494605,0.9618892992863822,0.3016017196833135,8.96484655
s1M3C,81.4375,5.0512384869336415,0.9455433044356536,0.27407783339869435,6.72760036
s1M5C,79.25,5.20232590818105,0.9617320022725429,0.4930470797735048,6.79314783
s1C5A,199.0,6.320445496283495,0.9792561536501749,0.34932657566928665,9.76291608
s1C5B,218.95744680851064,6.86578892841277,0.9859694803309624,0.38526052725858734,14.142642030000001
s1G5A,106.0,5.731806019960858,0.9737172067901234,0.48161653698757395,7.375521829999999
s1G5B,143.76923076923077,5.956422235406805,0.974208698268588,0.3956404271066783,9.31999969
s1G5C,160.0,5.811747018441488,0.9727810650887574,0.3867276887871854,8.67312217
s1M5A,120.6,5.5058834420182725,0.9669144346191636,0.43178087245227337,7.435306590000001
s1M5B,85.375,5.4280166132290875,0.9647325528007347,0.44304312449145644,6.710670160000001
s1C7A,243.02941176470588,6.631497026694204,0.9839698661002227,0.3626890158698473,12.91468985
s1C7B,226.0,6.563248303287654,0.9835680440916991,0.36441334102356315,12.62805587
s1G7A,122.4,5.376691228616381,0.9566973866935993,0.2960678777005308,7.051764310000001
s1G7B,91.65,5.675674924458569,0.9688793335124967,0.40674668240746814,7.98788013
s1G7C,94.0909090909091,5.317700257078457,0.9594292508917954,0.357221740829468,7.43422114
s1M7A,44.0,4.061857391237816,0.9242599000384467,0.6001384402399631,3.49789301
s1M7B,50.2,3.7241916373612716,0.8660157066499448,0.2332362937374638,4.4622797400000005
s1M7C,63.90909090909091,5.275280684592371,0.9666481994459833,0.5657243151758291,6.76949807
s1C10A,233.60714285714286,6.40598506126408,0.9809689986282579,0.3346868946712337,11.59516956
s1C10B,221.0,6.266473252705755,0.979162592706187,0.3332681627097808,12.43017931
s1G10A,101.375,4.570277464430217,0.9020381328073636,0.2171926317292589,6.15864711
s1G10B,90.0,4.534512748499016,0.9231221303948577,0.27099259436215956,5.76841145
s1G10C,162.23076923076923,6.018216720689473,0.973280325443787,0.3198769703960015,11.34833639
s1M10A,176.36363636363637,6.168177457537872,0.9806610691890743,0.4743960261454781,9.66525241
s1M10B,129.06666666666666,5.94167449243067,0.9749577345731192,0.41596343178621664,9.31500477
s1M10C,203.0,5.950617570612492,0.9745290694035922,0.34743754212780764,9.75546963
s2C3A,252.27027027027026,6.73786121120662,0.9856793381996317,0.37341804851157034,12.460285970000001
s2C3B,212.5263157894737,6.53906509890186,0.9830597317195207,0.34320315310895233,12.174925450000002
s2G3A,207.03030303030303,6.067692329784478,0.9728495842781557,0.25577672605790647,13.61525705
s2G3B,173.95454545454544,5.9979938707782186,0.9765273669095532,0.36726555652936027,11.30388481
s2G3C,191.20408163265307,6.497168704030763,0.9791980757106439,0.2811255889132594,15.01810773
s2M3A,162.02857142857144,6.071204098145108,0.9746605206353575,0.29232674045163437,11.49258231
s2M3B,224.37209302325581,6.221945129933443,0.9719395994277146,0.20248528409925778,15.63220858
s2M3C,269.5652173913044,6.286078434389596,0.9775326797385621,0.3202092871157619,11.54884522
s2C5A,129.6,5.217107919879865,0.9577728535314128,0.3758960100423515,6.97817669
s2C5B,267.6,7.232311895578907,0.9906994059610184,0.46545460546500234,15.17207679
s2G5A,194.0,6.272079498067313,0.9774267002898114,0.305518103807621,11.75712365
s2G5B,218.0,6.761245895868255,0.9872350941712864,0.4806121884074747,12.17275024
s2G5C,302.84000000000003,6.844696353948072,0.9870035072726949,0.45261079774375507,13.46865839
s2M5A,236.03703703703704,6.315680361025191,0.9782336569015402,0.3190450694005571,12.14886268
s2M5B,218.19354838709677,6.441898688631015,0.9821358799531132,0.37569213475716606,13.346203690000001
s2G7A,348.02857142857147,6.8702120376394245,0.9822122340464597,0.26148099782996953,15.724275330000001
s2G7B,299.88235294117646,7.305757406058961,0.9906251425213796,0.437165115852064,15.935015360000001
s2G7C,334.0243902439024,6.702638884171759,0.9807500830940792,0.20371873014396213,17.681897750000005
s2M7A,299.39473684210526,6.715041825801437,0.9841499883056567,0.32521358814500906,14.427224370000001
