,OTU,cluster,kingdom,phylum,class,order,family,genus,species,sC0C,s1C03A,s1C03B,s1C05A,s1C05B,s1C07A,s1C07B,s1C10A,s1C10B,s1C20A,s1C20B,s2C03A,s2C03B,s2C05A,s2C05B,s2C10A,s2C10B,s1M03A,s1M03B,s1M03C,s1M05C,s1M05A,s1M05B,s1M07A,s1M07B,s1M07C,s1M10A,s1M10B,s1M10C,s2M03A,s2M03B,s2M03C,s2M05A,s2M05B,s2M07A,s2M07B,s2M10B,s2M10A,s2M10C,s3M03A,s3M03B,s3M03C,s3M05A,s3M05B,s3M05C,s3M07A,s3M07B,s3M07C,s3M10A,s3M10B,s3M10C,s1G03A,s1G03B,s1G03C,s1G05A,s1G05B,s1G05C,s1G07A,s1G07B,s1G07C,s1G10A,s1G10B,s1G10C,s2G03A,s2G03B,s2G03C,s2G05A,s2G05B,s2G05C,s2G07A,s2G07B,s2G07C,s2G10A,s2G10B,s2G10C,s3G03A,s3G03B,s3G03C,s3G05A,s3G05B,s3G05C,s3G07A,s3G07B,s3G07C,s3G10A,s3G10B
1,OTU_14,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Ancalomicrobium,ancalomicrobium spp.,-0.24430901459943,1.26942377783067,0.683795166666196,-0.0186320511992228,0.313711442273229,-0.719550331420015,-1.05282741734082,-1.71281355441196,-0.954277995446387,-0.786834601046822,-0.551786968891954,-1.80565470492794,-0.534247093196508,-0.870607601438962,-1.46348452638756,0.85731891080026,2.14988654808506,-0.831623688779603,-0.834663857550243,-0.717269450147088,-0.328662346921846,-0.278547252726205,-0.179219170268675,0.520083037982199,-0.392501718278169,-0.361970715683285,-0.654797197377625,-1.26933767690284,-0.990004876855086,0.787668982833568,1.67495865483708,2.40731929794162,1.93258228436366,1.63084959451602,1.54369757514648,0.608901054892278,0.49110715480715,3.13812209485143,1.5587047324194,0.281195186844862,0.199663593210479,0.413169351110454,-0.219801175910266,-0.589890055760828,-0.685297784843738,-0.601710919457789,0.189437986745848,-0.844171084092816,0.102563800506316,0.0691173450565588,-0.187204439999105,1.97281002616341,1.54091158472528,1.03419393626361,1.83656103648878,0.941858519881674,1.05585205134328,1.23176281805041,0.0933610157732954,0.688253351833559,1.24715173675434,0.0669317352185734,0.597269759060056,0.847147373519068,0.915677997865593,0.515093075319608,-0.176343600390581,-0.348244942225573,0.151984481638732,0.567014615300329,-0.11119702825098,0.136445034925853,0.20397522228462,0.0644687092136191,0.49040902088196,0.53034199395888,0.157506294088692,0.653827855429338,0.27995160439955,0.137996810909629,0.0105856001474187,-0.092321409850955,0.235891796910048,0.077500839818339,0.756517558772547,0.0161132634793502
2,OTU_27,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Ancalomicrobium,ancalomicrobium spp.,-2.63915510420398,-2.96103294096211,-4.01994868472309,-3.52339571345581,-3.30095202952037,-3.13013690565509,-3.60653855632471,-4.11009223810122,-4.66752180634381,-3.8630938483122,-2.3539823940464,-6.16107310967701,-4.64989546294044,-6.00337219194449,-4.43228164558384,-4.4493333450675,-2.84721396796938,-3.80761753862452,-3.37025323371867,-3.11191013313641,-2.80583723590494,-4.9264706180847,-2.38865606421078,-4.85537945798201,-2.6917466844722,-5.09083059746946,-3.30243574216481,-2.92369194175906,-4.32113733438027,-1.56568854436424,-1.89264781589093,-1.20954549533448,-0.731539938263702,-1.71101243659619,-1.75230107044598,-2.46145003930061,-1.91146074263329,1.32827007144556,0.428309824391211,-2.65000706072818,-3.08804471002906,-3.58070608946806,-3.64139401775267,-3.31860484139977,-4.4498815764731,-4.19006349689085,-3.30526310705862,-3.31093953978409,-2.54384669565269,-2.01994609569383,-2.33298728561151,-2.03138994299291,-2.28203956266555,-3.19152404839898,-0.893666781190652,-1.31882103610757,-2.30278753915597,-0.553230997484288,-1.39814028509625,-1.35826721993203,-0.755660270409644,-2.23455704433376,-1.07771444238563,-0.926590879520876,-1.82700919512015,-2.34801088370819,-2.539535657766,-2.87601387902677,-2.99575418318869,-2.13813756343121,-2.52342711024933,-3.19709487296725,-1.99881790505646,-2.65708374972257,-2.25167008482683,-2.87484790088624,-5.4933787647533,-5.44396748217779,-2.79714023874437,-3.68327143769005,-3.68394669642087,-3.44582725585203,-3.53914256841436,-3.45198825248106,-1.6678498480678,-1.80949259572382
3,OTU_23,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,afipia sp.,-0.883397102246168,-1.20818239377012,-1.18712972593319,-1.10385860438645,-1.62905514047445,-1.42137647917102,-1.42013370710171,-1.36695857814934,-1.5469480070497,-0.745314460988737,-0.566545582279311,-1.97756592091219,-1.7831174254072,-1.24737774296317,-2.2378355268991,-0.687240251518687,-0.323075205776179,-1.7308779844242,-1.02161499922929,-1.58078702696846,-0.907926586656269,-0.742818456653015,-1.33998782735325,-0.65897654335506,-1.16859420585251,-1.13988005454137,-1.31976252734933,-0.995860536514426,-1.30176996674353,-0.32725206730183,-0.59587369587029,-0.119678141805657,-0.362162877721959,-0.212706210283068,-0.76889446857949,-1.05002258314915,-1.17717768475611,0.226074665024007,0.0397126113725292,0.313871832456755,-0.615266812309517,-0.905527297074094,-0.753416576516962,-1.36184578558571,-0.632451163823814,-0.941536515238709,-0.86639801716917,-1.4466414027397,-1.10161594007031,-1.4485145967914,-0.855045381148903,-0.360667388164117,-0.666761122258673,-0.528174413219416,0.601595351261924,0.459128851495657,0.364202932898218,0.768602726843761,0.591590359846257,0.914056088425641,0.585477773942827,-0.278176527556652,-0.0714059392648032,0.132727775565018,0.24463226773564,0.14074577682008,-1.18178385819886,-1.18577949116933,-0.713270948278512,-0.737790130526307,-0.756076859417831,-0.798850210131081,-0.709085462597328,-0.186150214484012,-0.343213258542011,-1.81750540374893,-2.06435055264988,-1.94773102055722,-0.800026619292103,-1.0614623651345,-1.82112909465112,-1.05970900709101,-1.24819646690401,-1.21951744715122,-0.858742786412987,-1.44341584307211
4,OTU_640,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,afipia sp.,3.39452653194823,3.49270207762017,3.34578721742912,2.97325663700163,2.97146399080813,2.75414082300471,2.78551203329513,2.9918042266297,2.67610705699499,3.71539990797923,3.78041600986133,1.47329129900702,1.61882354588214,2.05147111814998,1.02999698595948,2.54317343160883,3.26171076845575,2.25566690958313,2.84772395982138,2.53413609521595,2.11506703229417,2.29419293184324,2.62354306579763,3.26356957301202,2.68445586482231,2.74709560740948,3.4850079664971,3.21803853634246,3.02360050961007,3.52759647014541,3.35755725229382,3.93959529904365,3.61047584848311,3.41081362741491,3.4200923786596,3.02295402399629,2.76489995574305,4.39083716715194,4.04769162585251,1.94918923530694,2.36119151917039,2.05990174474727,1.42205153350992,1.50068766284224,1.54114192156566,1.73309124094021,2.28402059122346,1.07313375016613,2.06290863946929,2.14541330540728,1.91521909849851,3.56965728084097,3.13948304559836,3.05557003551458,3.51724310506678,3.5861461014121,3.56135969033691,3.59124350000916,3.675413634073,3.53759186749502,3.89254259990428,2.88157830800596,3.08783108279026,3.40213051702726,3.64914959610978,3.70771928916111,2.53444622526282,2.78706136710833,2.83683908357291,2.77713066484646,2.79152463871794,2.58353115281419,2.66232181312033,3.53353053382012,3.03323015161597,1.29763234460643,1.85458173075572,1.45648389054996,1.76926833242772,1.40823208959126,1.04354426671624,1.48215207078907,1.39075046444095,1.26128966637622,2.18855646670109,1.70546912833311
5,OTU_437,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,rhodopseudomonas palustris,3.67242878558501,4.25562974815427,4.20850185931674,3.73421697763403,3.87190166031678,3.57353120475778,3.29739807276196,3.52193921638957,3.32654928432799,4.28115495706837,4.6387879444918,2.90998927366513,3.23755449601186,3.77196284387011,2.98545642787246,4.05291675221504,4.07247513423556,2.84201752090733,3.14791564414847,2.92715058869031,2.46347480316657,2.73576446536745,2.86371900007235,3.13602992635673,2.60686928168255,3.20404455989788,2.80898457001387,3.06424632522342,2.58175023192563,3.20956446071602,2.6726533816184,3.09430602325517,2.83183366468205,2.88321657198997,2.81923624639165,2.67177916029484,2.55873796983846,3.3294688433455,3.96456313278155,2.84673860205916,3.00223668064444,3.03815564061431,2.22642877957419,2.41080786198239,2.61634229676577,2.95661818551488,3.03864691783236,2.42891480374085,2.60761671948131,2.7274927873158,2.80815872033903,3.74497138331065,3.48630788153084,3.21022101423531,3.51560443299478,3.51882630930451,3.35930639084019,4.60217780954572,4.15946026180002,4.33459772241609,4.92929225229025,4.01914678939703,4.23984844252384,4.423834549381,4.75902811577788,4.32035675222987,3.72071922809181,3.62623450697334,3.9164909308991,4.16637936687007,3.89370892303938,3.98892184398211,4.35867728975254,4.33131813264311,4.35449094247665,3.08780717856294,3.52200783973167,3.54606992776259,3.95535214946859,3.51643643141382,3.13795323543113,3.86419409029564,3.56855825470923,3.68905692396153,4.25933843859124,3.68722743183439
6,OTU_87,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,rhodopseudomonas palustris,-0.56756017995518,-0.0479076344619926,0.011245935078299,-0.0861454840007934,-0.428025855647241,-0.370149761634825,-0.375047579499014,-0.466015218306865,-0.803618868495531,-0.138959749082241,0.301701110421472,-1.22358974105815,-1.07564528585063,-0.924347086076535,-1.07528937563159,-0.804422776385725,-0.845900492571587,-0.914009713248925,-0.56698426196853,-0.948626914865222,-0.576924707353963,-1.32826125371121,-0.472722941108018,-0.306826706584394,-0.707074977586997,-0.960769716203298,-0.593369790919656,-0.454809834515808,-0.937821143700687,-0.287473105092008,-0.80603266270284,-1.11542331311227,-1.0504576546666,-1.02573130424733,-1.15604014635504,-1.25957299498724,-1.02402538051536,-0.444710688252677,-0.369628303561036,-0.971101250507721,-1.15943003856161,-0.707427831350337,-1.2277889460151,-1.2033586376883,-1.05277121024031,-0.892186676389945,-0.899539027070452,-1.24743528934814,-0.712653475426314,-1.62082830410733,-1.55763597953011,0.233702506351255,-0.0333406936920992,-0.309189880264261,-0.893666781190652,-0.209382795735279,-0.348292024995129,0.0409582364314627,0.33769710833255,0.184360916368328,-0.279138441627741,-0.386915742900172,-0.521659847947136,0.0365556301768208,0.112937786861529,0.545247738458275,-0.0778301729804944,-0.113406490779713,-0.0826037475572345,-0.454880180814582,0.104707750951803,-0.619393534043351,-0.324575200570159,0.204601410023788,-0.280916097146678,-1.38322488837232,-0.987587516115665,-1.47394986584221,-0.890418998890235,-0.826428928339551,-1.39718356640987,-0.875904487235752,-1.24819646690401,-1.10705378780839,-0.602573979667283,-1.28615076804712
7,OTU_298,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,rhodopseudomonas palustris,-0.0144774050376517,0.435645263241939,0.415908887747713,0.0619683274706331,-0.300732092604516,-0.125211107633071,-0.618537755667855,-0.17005851534199,-0.405173653175485,0.776157164509906,0.885296108066266,-0.827917580064194,-1.34016576249726,-0.870607601438962,-1.55367134711543,-0.103645877943151,-0.264504907363828,-0.75551152062142,-0.294571068007516,-0.676791024954343,-0.907926586656269,-0.694754400648287,-0.472722941108018,-0.306826706584394,-1.16859420585251,-0.881964843539688,-0.633899320039637,-0.559605356590995,-0.731779047075109,-0.368679183520052,-0.975536075596,-0.684309491566006,-0.952925615814699,-1.29156837147272,-1.33692656422802,-1.64603706780608,-1.33016485145604,-0.26312330886213,-0.208851842129688,-0.513033760165666,-0.473239353658527,-1.08502811623723,-0.90249562239582,-1.34294368729921,-0.703552706714605,-0.589778003630587,-0.803239454031397,-2.06141452729472,-0.215228897287505,-0.647990275324097,-0.783450087319599,0.459750416465313,0.351395568214212,0.154542607797991,0.166741102304468,0.703646545202439,0.29542388720318,0.768602726843761,1.35927005936505,0.749660821276312,0.41152272343493,-0.0627292126229202,0.248965442251428,0.461810291790892,0.756478851660832,1.16659374880082,-0.243237708301726,-0.0553258956747742,-0.272396051730583,0.122907429600922,0.405269402752048,-0.415735164569247,0.317072790227837,1.00435282888129,0.608789872636512,-2.21249229403894,-0.585810817671036,-1.21013649814159,-0.354201837808413,-0.514141608956399,-1.30904071501214,-0.449533927315245,-0.669565602383008,-0.928897565898945,0.0173340385242602,-0.387932475930979
8,OTU_107,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,rhodopseudomonas palustris,0.36411533953429,0.944257540095657,0.829340485099717,0.749842533839008,0.218830805881064,0.424764145125667,0.174449959968966,0.26098476585486,0.286796762061218,1.25691158058086,1.30085397728556,-0.380398946866948,-0.753320100777716,-0.597587813576608,-1.183281647055,0.240841002520459,0.0501396856948073,-0.365924908097925,0.517210987150423,0.193855306309156,0.1093421743352,0.240789686920639,0.470849784829789,0.475841652255492,-0.227043988378655,0.23188191500201,0.302616397283426,0.400916346678964,0.137908159191022,0.244311535217325,-0.0589171289959607,0.0479765462166224,-0.379469287310045,-0.58463495420285,-0.737298148696453,-1.05002258314915,-0.891243424245109,0.152139871186853,0.404467398355234,-0.00531813718924923,-0.320086421169629,-0.707427831350337,-0.353941466621002,-1.09540523895765,-0.403426878758938,-0.00491000330022828,-0.167997776829002,-1.21777632877827,0.389804941191711,-0.220675364022147,0.0184821538365121,1.05267964941081,0.949344486450092,0.66116551520504,0.57090274512391,1.1397268719787,0.761249513537617,1.31170108038617,1.76091934446579,1.29755704602153,1.07935741555878,0.946823535572292,0.54156754130144,1.05417475629994,1.08454855157206,1.67572717215927,0.14232351097851,0.713269660683418,0.556536867172809,0.268138608412029,0.884633438638597,0.092080312050399,0.676729971971441,1.41669420002439,0.916080761724236,-0.809428504649482,-0.195173011875225,-0.752896607604825,0.049963596811768,0.0328516925304845,-0.732190374404373,0.0392344551834434,-0.370288534023191,-0.491348593390072,0.499797711924733,-0.0924540658642403
9,OTU_3,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,rhodopseudomonas palustris,3.09634784591632,3.62316776590287,3.55209376715125,3.35787411894447,3.01340649776645,3.08023062189197,2.76233650035913,3.09107857232427,2.80435837335518,4.01434443035694,4.18464472254811,2.3100584461495,2.25895179464779,2.57114170755645,1.88147733616131,3.11306515502685,2.98984418665579,2.56640394327594,2.95194054967711,2.66722595891058,2.63817236011175,2.81880458715927,2.99218561572347,2.91770456742546,2.70903565755675,2.84656665730392,2.77673137124018,2.93812025530607,2.55890662480657,2.97128951390309,2.52313227913516,2.79842300217447,2.33094176869568,2.27006603313253,2.06915961663358,1.92660573826327,1.9871929252857,3.01424746600958,3.22467414837052,2.86946079225145,2.5787924754925,2.21636530610804,2.19458563894212,1.81036118926691,2.45083493772709,2.74826592942766,2.50431810083307,1.53491471191451,3.00298326734648,2.47274635976667,2.66425895934072,3.60830766895137,3.4138416714982,3.26389430061465,3.33188800917493,3.59821916269593,3.40481137259457,4.13048432169598,4.35637412209687,4.08223946216047,3.98598349977164,3.44237013810305,3.61299650671169,3.77507236744318,3.91749382756665,4.28950131360235,2.93176978058822,3.2008357680404,3.19235984895015,3.28229993426727,3.60490326078091,2.94979149045894,3.53532139703114,4.15469488561185,3.71276980492577,2.01416848075988,2.52472288755976,2.33772629600694,2.95924759378437,2.73443600438714,2.0999324010625,2.86399847293386,2.57212362921023,2.49440706429927,3.41151598802807,2.79147577836628
10,OTU_136,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodoblastus,rhodoblastus acidophilus,-1.15304235279267,-1.49322290569806,-1.75350641707582,-1.28495267020177,-1.6518720805081,-1.47228132409777,-1.83779607507105,-1.6334114850571,-2.43422999333453,-0.577248250401141,-0.763067545842396,-2.44780122847265,-2.59797371754062,-1.72752495984458,-2.10654233071025,-0.961129686703321,-0.468932449612237,-3.23360347486895,-1.98056572801828,-2.46698643223978,-2.80583723590494,-1.76472590657616,-1.732731131535,-1.87480599329282,-2.6917466844722,-2.67518905085297,-1.36169125304549,-1.78751065112147,-1.70112939220448,-0.434227055248982,-0.476879778931214,-0.474472722495566,-0.362162877721959,-0.199847709821574,-0.76889446857949,-1.00384266962298,-1.69123282702689,0.0543284017957149,-0.46087905990564,1.36067862158838,0.265034707000309,0.00225316600676084,0.539685037416132,-0.39792393083719,0.86403094237306,0.347852261461768,-0.261401672874175,-0.506085907468273,-0.140869887326839,-0.982538786064919,0.383119236487973,-1.52972242734846,-2.60760619387174,-1.98522465038784,-1.20789790182952,-0.738375742187542,-1.03535302379645,-0.245236102192639,-0.491537137458773,0.0439139362683827,0.311701241948022,-0.698936500415903,0.465065139969329,0.642414509917507,0.0648814436438627,0.641462472476418,-0.47585948985135,-0.348244942225573,-0.856841287972387,-0.604862201092134,-0.386929720922342,-1.0331210714897,-1.06345960113244,0.386570120504063,-1.28648040985326,-1.9326585738888,-1.66975039806826,-1.40119088178231,-0.938876160807607,-1.01825105706895,-1.85696205234971,-0.387550985770736,-1.29538641293904,-1.21951744715122,0.132072931799415,-1.67203303490033
