,opitutus spp.,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,pleomorphomonas oryzae,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,eubacterium sp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,caulobacter spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,phaeospirillum sp.,rhodopseudomonas pangongensis,enterobacter spp.,prolixibacter spp.,cloacibacterium normanense,rhodopseudomonas rhenobacensis,clostridium sp.,pleomorphomonas sp.,citrobacter spp.,bradyrhizobium sp.,acidovorax caeni,fibrobacter spp.,chlorobium spp.,desulfovibrio desulfuricans,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,opitutus sp.,methylocella palustris,beijerinckia spp.,rhodocyclus spp.,bradyrhizobium elkanii,clostridium spp.,ochrobactrum anthropi,nitrospirillum azospirillum amazonense,acinetobacter junii,propionibacterium acnes,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,parabacteroides distasonis,nitrobacter hamburgensis,vitis vinifera,methylocystis heyerii,micrococcus luteus,delftia sp.,methylobacillus sp.,rhodobacter capsulatus,pseudomonas veronii,streptococcus salivarius,stenotrophomonas spp.,zoogloea sp.,bordetella hinzii,cytophaga spp.,rhizobium straminoryzae,methanosaeta sp.,pontibacter korlensis,bacteroides fragilis,sphingobium yanoikuyae,rhodothermus spp.,rhodovibrio sodomensis,rhizobium sp.,enterobacter sp.,gemmatimonas spp.,bacteroides caccae,eubacterium rectale,citrobacter sp.,pseudomonas spp.,hydrogenophaga spp.,atopostipes sp.,rhodovibrio spp.,ochrobactrum intermedium,pseudochrobactrum kiredjianiae,steroidobacter spp.,oligotropha carboxidovorans,salinibacter spp.,pantoea agglomerans,chelatococcus spp.,streptococcus sanguinis,afipia broomeae,prevotella sp.,thioalkalivibrio spp.,methyloligella halotolerans,rhodopseudomonas oryzae,porphyromonas spp.,methylocella silvestris,rhodoplanes spp.,sphingobacterium spp.,nitrobacter spp.,spirosoma spp.,pseudomonas sp.,hartmannibacter stappia sp.,aquabacterium spp.,neisseria perflava,tumebacillus sp.,staphylococcus aureus,phyllobacterium sp.,lactobacillus iners,roseburia spp.,paenibacillus spp.,streptococcus thermophilus,stenoxybacter spp.,elizabethkingia meningoseptica,oribacterium sinus,flexithrix dorotheae,methylococcus capsulatus,flavobacterium sp.,prevotella spp.,methylopila sp.,acinetobacter lwoffii,parabacteroides spp.,enhydrobacter aerosaccus,prevotella pallens,fusobacterium nucleatum,burkholderia ubonensis,aeromonas spp.,methylocystis sp.,corynebacterium tuberculostearicum,sphingomonas faeni,prevotella nanceiensis,lactobacillus helveticus,bacillus thermoamylovorans,bosea spp.,corynebacterium durum,rubrivivax gelatinosus,anaerococcus hydrogenalis,globicatella spp.,finegoldia magna,dietzia spp.,granulicatella elegans,actinomyces marimammalium,veillonella dispar
2M5A,18257,4486,37950,2410,531,1629,15491,3296,7631,14,12787,263,111,0,378,0,637,94,180,21,4,24,9,24,0,2,1,2,3,9,3,2,8,0,19,27,8,1,0,1,0,8,2,1,0,1,3,15,16,1,1,0,0,12,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2M5B,25591,1106,18358,2761,418,2243,18266,3091,8781,10,18528,649,286,2,441,0,533,138,163,19,11,28,11,26,1,2,3,3,6,9,0,7,12,0,21,47,4,4,0,0,0,8,4,3,0,0,3,11,10,7,0,0,0,13,0,0,6,0,3,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,1,2,0,1,1,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2M7A,26348,6258,22807,3474,1449,3694,19055,4363,7800,22,11687,852,423,1,4508,0,677,278,130,12,4,43,15,58,0,13,1,2,12,8,2,4,7,0,25,26,10,0,1,1,0,8,5,4,0,0,2,20,14,5,1,0,0,23,8,2,1,4,3,4,1,0,0,0,0,0,0,0,0,12,1,0,0,0,2,9,0,1,0,0,0,1,2,3,0,0,3,3,2,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2M7B,15399,3027,18981,2697,2402,3564,15870,2726,6021,5,5746,1117,549,0,39817,0,239,171,52,7,5,26,12,239,0,5,0,32,57,5,6,1,2,0,30,26,9,0,1,6,0,6,2,1,1,1,0,9,6,2,0,0,0,81,63,0,1,42,13,21,8,0,0,0,1,0,0,0,0,7,2,0,0,0,22,20,0,0,1,0,12,8,3,9,2,1,5,4,1,0,0,1,1,0,2,2,0,1,4,1,1,0,3,2,1,1,1,0,0,0,1,2,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2M10A,43401,6021,4114,8010,22286,10252,30886,13312,14302,0,3147,3833,1886,0,92,0,4359,430,28,106,30,113,66,6,0,25,9,21,33,13,3,112,16,0,52,3,7,53,4,9,0,67,11,9,17,21,29,4,83,12,4,1,0,1,1,22,15,0,1,0,0,1,0,0,0,0,0,0,0,3,0,24,21,7,0,1,0,4,8,2,0,0,0,0,0,5,0,1,3,6,0,0,0,1,0,7,5,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,1,6,0,0,0,0,9,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0
2M10B,11250,1289,40545,2926,2901,12717,9928,2355,4747,8,971,715,360,0,19327,0,252,118,46,7,13,26,4,198,1,10,4,14,32,4,11,2,2,0,16,0,6,0,1,1,0,1,0,3,1,0,0,5,2,3,0,0,0,49,42,0,0,18,3,6,8,1,0,0,0,0,0,0,0,8,2,0,0,0,21,6,0,0,0,0,4,9,1,3,2,5,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,0,2,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2M10C,58294,181,3940,6741,4615,3134,24582,5075,5375,0,9721,1366,832,0,79,0,545,127,62,29,6,25,22,6,0,7,2,2,6,24,0,26,31,0,32,19,4,15,2,4,0,10,4,1,0,9,10,0,10,4,0,0,0,3,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,12,8,4,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3M3A,13787,32,2689,1679,60,1105,4833,412,49149,15,3071,327,159,1,1573,0,67,17,19,5,8,13,3,43,0,1,1,1,2,1,0,0,1,0,6,6,10,0,0,0,0,2,0,2,0,0,0,8,8,31,0,0,0,21,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,5,0,0,0,0,1,0,11,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M3B,10688,70,32226,1702,94,435,7836,587,12798,14,5706,83,40,1,6370,0,63,15,80,1,9,13,6,77,1,0,0,5,11,4,1,0,3,0,3,14,6,1,0,0,0,2,1,2,0,0,0,8,2,6,0,0,0,39,17,0,4,8,5,4,3,0,0,0,0,0,0,0,0,7,3,0,0,0,7,7,0,0,0,0,2,1,2,1,0,0,3,4,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M3C,8167,89,49139,1423,120,359,4267,407,12452,8,16890,87,34,0,2573,0,70,27,245,4,6,8,3,42,0,0,0,3,7,5,0,1,0,0,9,49,2,3,0,0,0,1,0,0,0,1,0,4,2,5,0,0,0,20,8,0,0,1,1,3,3,0,0,0,0,0,0,0,0,6,3,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
