,opitutus spp.,paludibacter propionicigenes,magnetospirillum sp.,rhodopseudomonas palustris,acetobacter spp.,bacteroides spp.,pleomorphomonas oryzae,afipia sp.,rhodoblastus acidophilus,spirochaeta spp.,citrobacter werkmanii,pontibacter spp.,pontibacter sp.,ruminococcus spp.,eubacterium sp.,desulfovibrio mexicanus,ancalomicrobium spp.,rhodocyclus tenuis,escherichia spp.,rhodoplanes elegans,propionicimonas paludicola,rhodopseudomonas spp.,pleomorphomonas spp.,caulobacter spp.,opitutus terrae,barnesiella viscericola,pontibacter salisaro,phaeospirillum sp.,rhodopseudomonas pangongensis,enterobacter spp.,prolixibacter spp.,cloacibacterium normanense,rhodopseudomonas rhenobacensis,clostridium sp.,pleomorphomonas sp.,citrobacter spp.,bradyrhizobium sp.,acidovorax caeni,fibrobacter spp.,chlorobium spp.,desulfovibrio desulfuricans,bradyrhizobium yuanmingense,bradyrhizobium spp.,rhodopseudomonas sp.,inquilinus spp.,dechloromonas agitata,acidovorax spp.,opitutus sp.,methylocella palustris,beijerinckia spp.,rhodocyclus spp.,bradyrhizobium elkanii,clostridium spp.,ochrobactrum anthropi,nitrospirillum azospirillum amazonense,acinetobacter junii,propionibacterium acnes,brevundimonas sp.,rhizobium petrolearium,escherichia vulneris,brevundimonas spp.,parabacteroides distasonis,nitrobacter hamburgensis,vitis vinifera,methylocystis heyerii,micrococcus luteus,delftia sp.,methylobacillus sp.,rhodobacter capsulatus,pseudomonas veronii,streptococcus salivarius,stenotrophomonas spp.,zoogloea sp.,bordetella hinzii,cytophaga spp.,rhizobium straminoryzae,methanosaeta sp.,pontibacter korlensis,bacteroides fragilis,sphingobium yanoikuyae,rhodothermus spp.,rhodovibrio sodomensis,rhizobium sp.,enterobacter sp.,gemmatimonas spp.,bacteroides caccae,eubacterium rectale,citrobacter sp.,pseudomonas spp.,hydrogenophaga spp.,atopostipes sp.,rhodovibrio spp.,ochrobactrum intermedium,pseudochrobactrum kiredjianiae,steroidobacter spp.,oligotropha carboxidovorans,salinibacter spp.,pantoea agglomerans,chelatococcus spp.,streptococcus sanguinis,afipia broomeae,prevotella sp.,thioalkalivibrio spp.,methyloligella halotolerans,rhodopseudomonas oryzae,porphyromonas spp.,methylocella silvestris,rhodoplanes spp.,sphingobacterium spp.,nitrobacter spp.,spirosoma spp.,pseudomonas sp.,hartmannibacter stappia sp.,aquabacterium spp.,neisseria perflava,tumebacillus sp.,staphylococcus aureus,phyllobacterium sp.,lactobacillus iners,roseburia spp.,paenibacillus spp.,streptococcus thermophilus,stenoxybacter spp.,elizabethkingia meningoseptica,oribacterium sinus,flexithrix dorotheae,methylococcus capsulatus,flavobacterium sp.,prevotella spp.,methylopila sp.,acinetobacter lwoffii,parabacteroides spp.,enhydrobacter aerosaccus,prevotella pallens,fusobacterium nucleatum,burkholderia ubonensis,aeromonas spp.,methylocystis sp.,corynebacterium tuberculostearicum,sphingomonas faeni,prevotella nanceiensis,lactobacillus helveticus,bacillus thermoamylovorans,bosea spp.,corynebacterium durum,rubrivivax gelatinosus,anaerococcus hydrogenalis,globicatella spp.,finegoldia magna,dietzia spp.,granulicatella elegans,actinomyces marimammalium,veillonella dispar
3M5B,26312,480,3784,3732,1852,13861,30681,1137,21252,13,10426,9591,4805,1,23730,0,145,251,96,8,50,64,41,322,0,61,13,16,30,18,12,3,11,0,67,33,15,1,11,2,0,0,4,0,1,3,3,39,10,13,1,0,0,123,37,0,2,26,17,32,10,1,1,0,0,0,0,0,0,10,4,0,0,0,25,28,0,14,7,0,10,20,15,5,7,4,4,3,4,0,0,5,7,0,4,0,1,6,4,0,6,0,0,1,1,2,2,0,0,1,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3M5C,15879,211,6094,2950,142,9244,7736,691,42556,12,3884,2741,1377,1,11582,0,67,51,47,7,25,39,11,236,0,34,6,15,16,4,0,0,7,0,16,12,9,0,1,0,0,1,0,3,0,0,0,15,2,24,0,0,0,75,28,0,2,14,3,16,7,0,0,0,0,0,0,0,0,8,1,0,0,0,15,6,0,6,6,0,4,2,22,4,2,2,0,4,4,0,0,0,13,0,2,0,0,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3M5A,25055,165,9840,3330,175,5509,20707,855,57228,19,11261,13460,6394,1,3957,0,175,303,97,18,37,45,26,103,0,84,30,5,11,1,7,5,10,0,23,20,12,4,4,0,0,5,2,3,0,0,1,13,8,31,0,0,0,51,12,1,1,1,9,11,1,0,1,0,0,0,0,0,0,10,2,0,0,0,3,6,0,39,9,0,2,5,11,4,6,1,3,3,3,0,0,0,1,0,1,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M7A,23260,174,3986,5618,1115,9010,14114,1013,29906,7,5525,5766,3297,1,10348,0,109,223,53,14,27,71,22,185,0,36,13,11,14,8,10,0,10,0,35,6,17,0,6,0,0,1,4,3,4,0,0,33,9,19,1,1,0,49,20,0,0,5,6,10,2,0,0,0,0,0,0,0,0,9,7,0,0,0,8,11,0,9,7,0,6,7,10,0,9,2,1,1,2,0,0,0,7,0,2,0,1,2,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M7B,12620,996,3277,5095,3962,21813,25622,1557,13121,10,11918,19319,11606,0,1122,0,219,218,73,15,39,38,36,36,0,141,46,3,6,23,3,0,5,0,22,38,12,2,19,6,0,4,4,4,2,3,1,8,6,8,1,0,0,23,3,0,1,1,6,0,2,0,0,0,0,0,0,0,0,7,2,0,0,0,5,4,0,21,37,0,1,0,3,0,2,1,1,4,2,0,0,0,1,0,1,1,1,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M7C,32437,397,11536,3876,3855,20625,18650,865,17576,16,13086,12244,6673,0,21875,0,138,284,121,12,53,48,29,265,0,92,44,19,30,26,8,2,11,0,38,23,16,1,2,0,0,0,0,3,6,1,4,54,3,10,5,0,0,79,37,1,3,24,12,32,8,3,1,0,1,0,0,0,0,8,4,0,0,0,30,21,1,22,18,0,17,20,6,7,12,4,2,5,2,0,0,4,9,2,11,1,1,3,3,0,6,0,1,1,3,0,2,0,0,0,4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M10A,18624,2463,18347,7634,13883,14439,19611,1810,23028,0,4047,13515,8463,0,6447,0,278,329,47,32,7,44,45,76,0,90,37,26,7,11,7,31,4,0,44,6,8,16,32,4,0,3,2,3,8,10,9,6,6,13,5,1,0,17,11,12,2,5,7,4,2,2,0,0,1,0,0,0,0,0,0,12,5,4,10,11,0,17,14,4,7,6,2,3,0,4,1,0,2,2,0,0,1,0,1,0,5,4,4,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M10B,12766,715,27011,3100,3110,18817,11590,984,7286,0,4023,6373,4963,0,437,0,142,92,64,17,12,8,10,9,0,52,14,4,1,8,3,14,5,0,11,9,0,6,1,3,0,1,1,0,1,7,6,1,3,6,1,0,0,0,1,6,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,17,6,3,0,2,0,5,11,3,1,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M10C,20560,377,27787,5184,4387,19947,11677,1199,26676,3,4769,7775,5084,0,1680,0,163,113,81,48,3,39,21,28,0,51,24,6,2,9,0,21,13,0,24,16,3,17,14,2,0,0,2,3,8,9,10,5,4,12,1,0,0,11,4,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,4,1,6,0,0,8,15,3,2,1,2,0,0,4,0,0,1,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G3A,10296,4069,23578,7991,1579,1941,29944,3511,1045,144,19235,154,57,98,221,23,726,12,276,6,33,39,4,9,0,0,1,3,6,25,2,7,5,1,37,43,3,8,0,1,0,15,2,1,0,2,5,2,6,1,1,0,1,8,1,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G3B,4686,4107,18096,4802,825,1155,19289,1725,769,128,16855,381,161,62,223,28,348,8,111,5,11,8,7,11,0,0,4,3,3,10,0,3,3,1,8,38,0,3,0,1,0,1,2,0,0,1,4,1,2,0,0,0,0,6,4,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G3C,13546,5547,27683,5709,1300,1507,30571,2350,1023,127,10158,871,357,81,237,32,309,10,194,5,5,11,16,16,0,7,11,4,3,5,0,9,5,1,16,29,3,8,0,0,0,4,3,2,0,0,0,2,4,3,1,0,0,9,3,2,0,2,4,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G5A,7398,459,8669,3547,417,727,67748,2011,1300,36,515,444,156,12,142,8,384,3,45,1,2,8,35,22,0,5,3,1,3,1,0,2,3,0,32,2,3,0,0,0,0,7,2,3,0,0,1,0,2,1,0,0,0,9,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G5B,10513,250,11656,4357,247,813,60667,2240,1389,23,1035,339,132,6,145,3,171,4,41,5,8,13,40,16,1,6,4,1,6,1,0,3,10,0,19,4,3,1,0,0,0,0,1,2,0,0,2,2,1,2,0,0,0,11,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G5C,11063,524,12579,3973,379,862,64941,2378,1199,33,2291,398,133,8,156,4,194,4,71,2,6,13,36,18,0,4,4,1,3,0,0,0,4,0,21,5,3,1,0,0,0,2,1,3,0,0,1,0,3,0,0,0,0,12,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G7A,5785,198,11221,6545,929,1354,36814,1558,1936,20,488,86,23,4,127,2,172,5,27,6,1,23,27,14,0,2,0,4,2,1,0,0,1,0,13,2,2,0,0,1,0,1,3,0,0,0,0,1,6,2,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G7B,5546,185,8981,7586,608,2112,43417,2127,1306,20,645,459,232,11,96,4,68,3,30,1,0,21,20,14,0,3,7,2,1,2,0,0,4,0,20,1,4,0,1,0,0,1,5,2,0,0,0,2,0,1,1,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G7C,4015,157,3708,4555,591,1620,40971,1228,1736,27,360,373,137,6,87,1,85,0,16,5,5,22,24,7,0,2,2,1,2,0,0,0,2,0,26,2,2,0,0,1,0,1,2,1,0,0,0,0,4,2,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1G10A,3339,201,9194,5519,1426,537,12636,1456,4262,11,152,152,131,5,56,5,116,11,17,10,2,14,15,10,0,1,2,0,2,1,1,0,1,0,9,1,3,0,0,0,0,1,2,2,0,0,0,0,3,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G10B,6305,609,9972,3512,2905,956,14790,741,2539,22,330,421,214,4,93,2,49,8,14,5,0,11,21,10,0,4,4,6,2,2,1,0,4,0,15,2,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1G10C,6463,1005,12578,7846,5971,3121,29979,1706,4692,34,384,769,413,5,106,8,171,6,33,16,1,48,37,14,0,13,17,8,3,7,0,1,2,0,48,1,3,1,2,2,0,7,3,2,1,0,1,1,6,4,0,0,0,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G3A,27812,166,15926,10165,481,1271,24249,2490,7939,18,1361,238,102,6,531,1,219,20,45,10,5,35,20,18,1,0,5,4,4,1,0,12,23,0,6,5,5,2,0,0,0,10,5,4,0,1,3,10,3,12,0,0,0,9,0,1,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2G3B,27184,130,13252,13245,197,1798,29406,3147,3530,16,354,1096,404,6,284,0,214,6,38,8,2,25,15,13,0,6,10,0,5,1,0,5,24,0,8,1,3,2,1,0,0,6,5,3,0,1,0,3,1,1,0,0,0,10,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2G3C,37121,163,20540,15525,320,1017,29861,4266,8689,20,587,355,149,4,2774,4,179,15,46,27,1,84,32,89,0,2,4,8,17,2,0,10,21,1,13,2,10,5,0,0,0,5,9,9,0,1,6,12,2,8,0,0,0,29,14,2,7,4,4,1,1,0,2,0,0,0,1,0,0,0,1,0,1,0,1,2,0,2,1,0,0,0,2,0,0,0,0,0,4,1,0,2,1,1,0,1,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G5A,14230,209,41860,5823,1314,3029,10469,1286,3593,18,294,293,142,0,19073,0,93,72,37,6,5,60,10,314,0,2,1,16,35,1,1,0,12,1,21,0,9,1,1,1,0,3,2,2,0,0,0,18,3,2,0,0,0,82,101,0,1,26,2,12,13,0,0,0,0,0,0,0,0,7,2,0,0,0,18,12,0,0,0,0,3,5,2,2,3,0,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G5B,17795,42,27405,7445,527,3772,10585,2050,9342,19,303,783,352,1,44131,0,95,60,17,4,2,50,8,262,0,0,2,49,62,1,2,0,7,0,17,1,14,1,0,1,0,0,10,3,1,0,0,26,2,7,0,0,0,76,105,0,2,44,3,14,6,0,2,0,0,0,0,0,0,7,1,0,0,0,31,15,0,1,0,0,13,10,5,4,3,0,3,0,2,0,0,4,7,1,0,0,0,0,4,0,1,0,2,1,0,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2G5C,22253,58,41510,8362,824,3139,20524,2000,4220,12,423,484,207,0,22792,0,134,102,38,11,2,64,17,280,0,3,1,13,44,1,2,1,12,0,31,1,15,1,0,1,0,2,0,2,1,0,0,30,3,3,0,0,0,71,68,0,1,23,14,6,11,0,0,0,0,0,0,0,0,3,1,0,0,0,15,15,0,1,2,0,5,7,0,3,5,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G7A,20708,112,5871,13930,2902,20979,28391,2588,6554,10,485,2578,1290,1,19958,0,292,314,16,11,10,91,32,289,0,24,4,9,28,3,4,0,14,1,48,2,24,1,2,1,0,7,5,2,0,1,2,20,10,3,2,1,0,62,30,1,2,17,13,5,5,0,1,0,0,0,0,0,0,2,1,0,0,0,26,18,1,4,1,0,2,10,5,1,6,0,2,0,1,0,0,4,0,1,0,1,0,0,2,1,0,0,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G7B,20486,76,3998,15233,4901,22518,28790,3009,6771,15,314,2471,1346,1,34338,0,182,297,11,8,9,123,31,514,0,22,4,23,56,1,6,0,13,0,57,0,40,1,5,3,0,2,3,12,4,0,2,25,2,8,1,0,0,79,43,0,0,31,27,7,9,0,3,0,0,0,0,0,0,4,1,0,0,0,36,23,0,5,6,0,18,11,10,11,2,2,3,1,1,0,0,3,1,2,1,2,0,0,5,1,1,0,0,2,1,1,1,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2G7C,19701,109,4513,13712,3650,27758,35838,2676,5445,24,382,5250,2711,2,26207,0,233,332,14,14,70,98,33,347,0,53,13,13,40,1,2,3,12,0,44,1,20,1,2,3,0,2,3,5,2,0,1,16,5,3,0,0,0,84,32,1,2,36,21,6,10,1,1,0,1,0,0,0,1,6,3,0,0,0,21,24,1,8,4,0,11,9,5,4,1,0,2,0,4,0,0,8,1,1,1,2,1,0,1,0,1,32,0,1,0,11,2,0,0,0,2,1,0,0,11,1,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
2G10A,13129,720,2669,16723,9291,43724,24399,2234,3366,11,259,14277,9282,2,1230,0,228,269,10,15,2,81,31,51,1,119,33,8,4,5,1,0,15,0,40,0,10,1,22,9,0,4,3,3,5,0,0,3,2,9,1,0,0,11,3,0,0,2,8,0,1,4,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,16,23,0,1,0,0,0,2,4,2,0,1,0,0,2,1,0,0,1,0,4,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G10B,12179,88,1520,17571,2832,24197,18338,4357,10820,16,268,13784,8456,1,751,0,152,96,7,13,3,80,28,40,1,109,22,1,9,3,2,0,14,0,26,0,22,0,9,2,0,3,5,12,2,0,0,6,2,4,0,0,0,12,1,0,1,0,4,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,11,24,0,0,0,3,0,1,0,1,1,3,0,0,1,0,2,0,1,2,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G10C,7713,176,1159,10910,5023,23218,17480,1984,2019,7,163,8862,5539,0,1334,0,164,112,8,11,5,58,16,39,0,77,21,2,3,1,2,1,6,0,20,2,12,2,12,2,0,4,2,0,4,0,0,4,3,2,0,0,0,16,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,3,5,0,18,8,0,1,0,1,0,1,3,1,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3G3A,7521,26,41235,1716,599,2811,8889,233,1121,9,2689,740,397,0,4175,0,102,17,57,0,3,6,5,56,0,4,4,4,2,2,0,4,3,0,20,10,2,0,0,1,0,2,0,0,0,1,0,3,2,0,0,0,0,19,13,0,0,4,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3G3B,7319,19,45435,2357,238,1400,7452,347,950,11,4146,181,78,2,4897,0,59,23,130,0,9,10,4,78,0,3,4,2,5,3,1,0,2,0,9,15,2,1,0,0,0,0,2,2,0,0,2,8,0,0,0,0,0,25,16,0,0,3,3,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,10,4,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3G3C,8847,27,59696,2672,180,2575,6481,282,1327,10,5878,563,229,0,4329,0,115,20,193,2,9,12,2,66,0,2,1,6,3,5,1,1,5,0,8,14,0,1,0,1,0,1,0,0,0,0,1,8,2,0,0,0,0,30,18,1,4,7,0,3,7,0,0,0,0,0,0,0,0,5,1,0,0,0,4,5,0,0,1,0,3,1,0,0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3G5A,10124,46,1000,3807,2479,13716,10727,341,2120,2,1880,3423,2073,0,824,0,77,88,11,9,6,23,8,16,0,19,5,0,1,1,0,0,6,0,17,6,5,0,1,0,0,1,1,1,2,0,1,5,1,3,0,0,0,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,2,0,1,0,1,4,0,3,6,0,0,0,3,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3G5B,22055,85,8802,6731,6134,26823,22342,642,3688,10,5328,920,506,1,4651,0,165,274,51,2,79,48,27,77,0,9,0,9,14,23,4,0,12,0,38,13,5,0,1,5,0,5,3,0,5,0,1,13,3,4,1,0,0,28,8,0,3,4,8,5,6,2,1,0,0,0,0,0,0,2,2,0,0,0,5,8,0,1,4,0,1,2,0,3,2,3,3,2,0,0,0,3,0,0,1,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
