"","D_start_200A","D_start_200B","D_start_200C","D_011A","D_011B","D_003A","D_003B","D_005A","D_005B","D_007A","D_007B","LF_start_100A","LF_start_100B","LF_start_100C","LF_start_200A","LF_start_200B","LF_start_200B2","LF_start_200C","LF_start_200C2","LF_start_050A","LF_start_050B","LF_start_050B2","LF_000B","LF_011A","LF_011B","LF_003A","LF_003B","LF_005A","LF_005B","LF_007A","LF_007B","FD_004A","FD_010A","FD_015A","FD_004B","FD_010B","FD_015B","FD_004C","FD_010C","FD_015C","LFa_000A","LFa_000B","LFa_011A","LFa_011B","LFa_003A","LFa_003B","LFa_003C","LFa_005A","LFa_005B","LFa_005C","LFa_007A","LFa_007B","LFa_007C","F_000D","F_005D","Fa_005D","Fn_005D","F_007D","Fa_007D","Fn_007D","Fa_000D","F_011D","Fa_011D","Fn_000D","F_014D","F_014E","Fa_014D","Fa_014E","Fn_014D","Fn_014E","F_003D","Fa_003D","Fn_003D"
"OTU_1",3.90205071092336,4.01171520209025,4.01387737088908,3.61889585233088,4.25583248156309,3.79624687597408,3.31066351525492,3.35231868972771,3.9689903395411,3.74538397465262,3.67819035321787,-3.42315390604196,-1.85375656261342,-0.552453133375231,-3.14197574831067,-1.80984558360041,-1.96563893462641,-2.95329610798293,-3.47987018329292,-3.38679395428159,-1.95900707207448,-2.28936085805855,-1.94490097003856,-2.14674119226366,-2.06111106850258,-3.17132090182939,-1.89827343661194,-1.57660000246262,-3.31488044097106,-3.42550166035576,-3.29411583028045,1.88963050906354,2.11084129700727,1.88511412977159,2.28436266637569,2.02041325941903,1.24758076118012,2.34444259754121,2.06593590856602,1.908999802687,-4.24819942420653,-4.14830317139193,-3.4466173053069,-2.10260348859455,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-4.17744296438428,-3.92891645389576,-4.11995337119984,-3.54294585103537,-3.77594784632972,-3.93457153813728,-3.80784729101932,-4.54096125294132,-4.09245568383838,-4.00673584666827,-3.97649127912696,-3.8202598852156,-3.9855603046359,-3.9588326277724,-3.03648879345591,-4.78919325546734,-4.16417072028359,-3.7005062533619,-3.77877152031492,-3.60228093690946
"OTU_2",0.106593510806343,0.543327781299222,0.268941968743758,2.15649736347465,2.30843078029204,1.32306418425642,1.36764213209558,0.892697428429209,0.900906628062727,1.55559238062405,1.32196436640225,-1.99267207260955,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-1.00924984321109,-3.38679395428159,-3.23727531057926,-3.41791375085421,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-3.42550166035576,-3.29411583028045,-1.425693920254,-1.82411016211691,-3.0526333249074,-0.765365555796226,-1.34732829860826,-2.70465853011513,-0.455009048447359,-2.0605242417851,-2.8107455292159,-4.24819942420653,-4.14830317139193,-3.4466173053069,-2.10260348859455,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-4.17744296438428,-3.92891645389576,-4.11995337119984,-3.54294585103537,-3.77594784632972,-3.93457153813728,-3.80784729101932,-4.54096125294132,-4.09245568383838,-4.00673584666827,-3.97649127912696,-3.8202598852156,-3.9855603046359,-3.9588326277724,-4.45041450885296,-4.78919325546734,-4.16417072028359,-3.7005062533619,-3.77877152031492,-3.60228093690946
"OTU_21",1.83838908141065,2.05349983442139,2.12313497674679,3.30053471500074,3.90736361262449,2.01542689414906,2.11031422845911,2.40874502795377,3.09128754831659,3.2152105941831,3.05277808419483,4.6559197055521,3.08873843836809,1.77279029472987,4.64097913917301,4.61575965575105,4.3097976952834,4.98621466000744,4.60318219484375,5.44565054624124,0.777281691979166,3.98737974878522,5.83843476600337,5.98762862152524,5.46603789652676,4.7498982859894,4.91971204436965,5.2475960770774,5.17735401697378,5.29992118718133,5.49689187547948,2.22994160414215,2.25290097324711,2.88723604003906,2.05080696458429,2.39334546641786,2.95693494513938,1.86129238228742,2.80411944216963,3.293117750157,4.11037696798953,3.94194546527599,5.47991223422897,4.90023954785229,3.88047550543286,4.62864622104815,4.25899964782182,5.65924639368526,5.39764007273344,5.37132004482882,5.31640114005359,5.43640609148016,5.33242706973666,5.06791411538596,4.3221259597408,4.35645138946523,4.55611100719586,5.15454708153358,4.92784709210157,4.81290716669279,4.28072763691369,5.37447700352879,5.26593926377274,4.23761365362928,4.83008862973816,4.83073288366627,4.82849829694618,4.5078464545876,4.47315653931621,4.36964932976131,3.82693025553043,4.01808679821068,3.76345174922168
"OTU_23",-3.05203035277282,-4.56258521339532,-4.59212597680276,-4.68751709588943,-3.43828709102386,-5.13468222167029,-3.53858967380218,-4.55116078380791,-4.63155254932537,-4.46016361479727,-4.60564138335549,4.33152604052648,3.55183493188373,3.72510991447889,5.77379500207312,5.91594606912051,4.44236268825136,5.80429273027338,4.44143858206306,4.93492219847642,4.01969768986846,5.57784288152579,3.31209656773121,5.49001092017212,5.64358799429779,1.91415879789835,2.75649472789103,4.49405978851456,4.10358799617693,6.26290416747812,5.0106946868392,1.72368421206179,1.330833124953,-0.0618979758682805,1.53703920250452,1.28300732786013,-0.661188587943416,1.53619145288935,1.86501611705017,-0.0911828357461051,2.63232477785468,2.34235905126971,4.61047453121099,4.6580085839522,1.63305218006878,1.70624416936346,1.86068368741442,4.83962895467825,4.85744665421026,4.9282465818261,4.72758798343785,4.45312126706358,5.11810438030953,5.01316903465203,3.18365823888141,3.36794159363225,3.31341718918295,3.48005815161138,3.95927789322957,3.814687415937,4.19823910023894,4.46786992658079,4.37627281919684,4.45079074378042,2.09490202531961,2.66032794367842,2.33806244648394,1.17711280209778,3.69630897014672,1.36579361574257,3.15143905260066,3.56001814777293,3.95500883180618
"OTU_27",-4.68645313992736,-4.56258521339532,-4.59212597680276,-4.68751709588943,-4.91966641177553,-5.13468222167029,-5.24157671410023,-4.55116078380791,-4.63155254932537,-4.46016361479727,-4.60564138335549,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-3.23727531057926,-3.41791375085421,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-2.09362275546952,-3.31488044097106,-3.42550166035576,-3.29411583028045,-5.28967296262207,-5.56054991200492,-5.16529435556958,-5.22542176182069,-5.69265532030672,-4.96462039871915,-5.22563853966183,-5.6439732524502,-5.11249620358556,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,7.17106344815371,7.89247353146048,7.81885558315783,8.04868550516397,8.24849387082401,8.12343894142184,7.9209339435334,6.96062740593331,6.39761597061888,7.27183813444499,6.61008140691187,7.35088498653759,7.51952999157003,7.66156795550671,6.09932210748395,5.92142063676064,6.57539824508067,8.37532407672733,8.27859925315689,8.10287584097774
"OTU_34",1.8856673823431,1.76626388294151,1.67057411091598,3.89473413488475,4.25053921255808,3.89105260400743,4.12753868712247,3.59501618019465,3.70550520824156,3.63682471678023,3.10245486507105,4.3301614382996,4.68565762547499,3.94290252769553,2.77923880757379,3.10300147814067,4.43722978518479,3.16081948996863,3.83276335869987,3.6092693532028,3.44264781045798,3.86297551643768,6.79954042951014,5.6349538780521,5.28777622523522,4.3477330727561,4.11417229201365,5.66318077743938,4.98875446758127,5.33118230405967,6.12454034288023,1.14995143349336,3.12121090589294,3.60874405070568,1.70601140187319,2.92042787498432,2.73854200287316,1.41580559767738,3.18342294481893,3.95267137120466,5.73823677603063,5.62229364465067,5.85652395975927,5.62850701947474,4.27505832873975,4.86675727122891,4.37452915929132,6.56123641999634,6.46236484858734,6.18490706664567,5.93496602715926,6.0566282218595,5.70619719153434,6.56735237222664,5.57705692096367,4.7565001914609,6.4204278083046,6.71241580436318,5.51544858399457,7.15336846031911,6.01423178930822,7.38931296924701,7.73566158650139,5.8958359861722,7.33242422825957,6.46454890518271,6.80986417943853,5.61673117603006,5.9180001647542,6.05514030051667,5.91542261584341,5.7959325474035,6.16396752882092
"OTU_38",-2.09272988960716,-1.16338212675525,-2.10844341019308,-0.696250904353844,-0.161206108800465,0.342902324750648,-0.122733314764597,-0.750424416563769,-0.349401897370152,-0.780573895944224,-0.880912320494712,-1.0677734098876,-3.39546750082478,-3.11532545459527,-1.65773851352702,-3.0372341878808,-1.39098651415729,-1.52893159541521,-1.95165801226914,0.943630060922374,-3.23727531057926,-0.0791117694332044,-0.523611177185501,0.468218585772536,0.0109675874891781,-1.81835497608661,-3.23841142045204,-1.57660000246262,-1.03482431326889,1.01934171379454,0.667832732894025,-2.09807390394126,-0.877532448453326,-1.36708267303863,-1.23524897997756,-1.44604771242618,-2.33459764138463,-1.84267719402902,-0.646832418483342,-1.06597953337744,-1.04679771730364,-2.05955081351527,-2.16657587317682,-3.52260055668995,-3.46856142643257,-3.498897725255,-2.2415740076125,-1.18890107318136,-1.49426852739993,-2.26083741535356,-3.8596445666336,-2.35949447014538,-2.17882311898603,0.275508974389144,-3.92891645389576,-1.11443689766189,-3.54294585103537,-1.18747313167013,-1.12910764532744,-0.789638171888923,-4.54096125294132,-4.09245568383838,-0.931680899587205,-1.11117684996379,-1.26124796014915,-1.31248500554155,-1.41094492406549,-0.8037956160567,-0.044331082198326,-0.786689276395588,-1.3808647038233,-3.77877152031492,-3.60228093690946
"OTU_39",3.05397619989186,3.22990104270479,3.24868695655745,2.87507330864128,3.60381368186697,2.95550374121703,2.62030695489557,2.44675765868711,3.05745860637902,2.9141474274213,2.72410388888345,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-1.96563893462641,-2.95329610798293,-3.47987018329292,-3.38679395428159,-3.23727531057926,-3.41791375085421,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-3.42550166035576,-3.29411583028045,0.961972691353802,1.24041541343887,0.994993254057166,1.50587747681785,1.21287101938868,0.503544814203743,1.45227401167012,1.12329802978688,1.22869967344307,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-2.17882311898603,-4.17744296438428,-3.92891645389576,-4.11995337119984,-3.54294585103537,-3.77594784632972,-3.93457153813728,-3.80784729101932,-4.54096125294132,-4.09245568383838,-4.00673584666827,-3.97649127912696,-3.8202598852156,-3.9855603046359,-3.9588326277724,-3.03648879345591,-4.78919325546734,-4.16417072028359,-3.7005062533619,-3.77877152031492,-3.60228093690946
"OTU_44",-4.68645313992736,-4.56258521339532,-4.59212597680276,-4.68751709588943,-4.91966641177553,-5.13468222167029,-3.53858967380218,-4.55116078380791,-4.63155254932537,-4.46016361479727,-4.60564138335549,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-3.23727531057926,-2.28936085805855,-3.48488268151464,-2.14674119226366,-3.24571049830379,-1.81835497608661,-1.89827343661194,-3.22381018937939,-3.31488044097106,-3.42550166035576,-3.29411583028045,-5.28967296262207,-5.56054991200492,-5.16529435556958,-5.22542176182069,-5.69265532030672,-4.96462039871915,-5.22563853966183,-5.6439732524502,-5.11249620358556,-4.24819942420653,-0.376715191265475,-2.16657587317682,-3.52260055668995,-1.0801501709558,-3.498897725255,-1.07753619011945,-2.88887270606992,-1.86236282454897,-4.00003886772774,-3.8596445666336,-1.77778568028549,-2.17882311898603,1.87558791322568,2.99114702388355,2.82473037989172,2.77702258910832,3.20126130934248,4.19100232551171,3.60935503023869,1.76947932657621,4.15344738694396,3.96539690909011,0.631947878324469,4.60907389453263,5.05064202505173,4.38274649103426,2.78591164941498,4.60505150471174,1.94555044918512,2.47853983200819,2.32613102186319,2.77897826777347
"OTU_51",2.2250341954045,2.53583879580942,2.43029873009634,4.36839409301916,4.71593778395406,2.83946929636008,3.41513719138477,2.70788558260019,3.09460834250821,3.46625584087561,3.01217468527874,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-1.74481899366521,-3.23727531057926,-3.41791375085421,-3.48488268151464,-3.24535348093177,-3.24571049830379,-0.908865329159887,-1.89827343661194,-2.09362275546952,-2.15351018670028,-1.56431107782842,-1.47669442954229,1.86806356704464,4.07526037110992,3.7026077036216,2.19136505414043,4.03870323229151,3.50069959076647,2.2908568187756,4.37515660797689,3.93325045615096,-4.24819942420653,-4.14830317139193,-3.4466173053069,-2.10260348859455,-2.22324260012076,-3.498897725255,-2.2415740076125,-4.25784602226054,-2.45111087322163,-4.00003886772774,-3.8596445666336,-2.35949447014538,-3.50062623458645,-4.17744296438428,-3.92891645389576,-4.11995337119984,-3.54294585103537,-3.77594784632972,-3.93457153813728,-3.80784729101932,-4.54096125294132,-4.09245568383838,-4.00673584666827,-3.97649127912696,-3.8202598852156,-3.9855603046359,-3.9588326277724,-4.45041450885296,-3.34064900276718,-2.07549407093482,-3.7005062533619,-3.77877152031492,-3.60228093690946
