,OTU,cluster,kingdom,phylum,class,order,family,genus,species,D_011A,D_011B,D_003A,D_003B,D_005A,D_005B,D_007A,D_007B,D_start_200A,D_start_200B,D_start_200C,merged_F_D_004A,merged_F_D_010A,merged_F_D_015A,merged_F_D_004B,merged_F_D_010B,merged_F_D_015B,merged_F_D_004C,merged_F_D_010C,merged_F_D_015C,F_000D,F_005D,F_007D,F_011D,F_014D,F_014E,F_003D,F_native_005D,F_native_007D,F_native_000D,F_native_014D,F_native_014E,F_native_003D,F_alien_005D,F_alien_007D,F_alien_000D,F_alien_011D,F_alien_014D,F_alien_014E,F_alien_003D,F_start_100A,F_start_100B,F_start_100C,F_start_200A,F_start_200B,F_start_200B2,F_start_200C,F_start_200C2,F_start_050A,F_start_050B,F_start_050B2,LF_alien_000A,LF_alien_000B,LF_alien_011A,LF_alien_011B,LF_alien_003A,LF_alien_003B,LF_alien_003C,LF_alien_005A,LF_alien_005B,LF_alien_005C,LF_alien_007A,LF_alien_007B,LF_alien_007C,LF_000B,LF_011A,LF_011B,LF_003A,LF_003B,LF_005A,LF_005B,LF_007A,LF_007B,F_000A
1,OTU_325,1,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta,Unassigned,-0.124595208377187,-0.353525494876513,1.25042318720356,0.54010228106111,1.30926327958159,1.03950550004413,0.70368243516011,0.773272338674452,2.03050429477795,2.26250148735871,2.04946162753115,0.166814016997678,1.21557536410714,2.02050530942148,1.00517423937435,1.14912554296804,2.35343363371719,0.681874711946665,1.16664846714898,1.01290183161288,1.18478870046502,-1.31574095906385,-0.140248565962883,-0.344749543282736,-0.215601353753119,-0.654467500049098,-3.7005062533619,-3.54294585103537,0.096880522219907,-3.97649127912696,-0.947661768689507,-0.314396594513093,-0.455901122689358,-4.11995337119984,-0.466666459931629,-1.28411139950062,-4.00673584666827,0.133850549785103,-1.47119790245132,-3.77877152031492,-3.42315390604196,-3.39546750082478,-3.11532545459527,-1.65773851352702,-3.0372341878808,-3.46404069857191,-1.52893159541521,-1.95165801226914,-3.38679395428159,-3.23727531057926,-3.41791375085421,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-1.89827343661194,-3.22381018937939,-2.15351018670028,-3.42550166035576,-3.29411583028045,-4.17612431208767
2,OTU_51,1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Unassigned,Unassigned,Unassigned,4.36839409301916,4.71593778395406,2.83946929636008,3.41513719138477,2.70788558260019,3.09460834250821,3.46625584087561,3.01217468527874,2.2250341954045,2.53583879580942,2.43029873009634,1.86806356704464,4.07526037110992,3.7026077036216,2.19136505414043,4.03870323229151,3.50069959076647,2.2908568187756,4.37515660797689,3.93325045615096,-4.17744296438428,-3.92891645389576,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-3.97649127912696,-3.34064900276718,-2.07549407093482,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-1.74481899366521,-3.23727531057926,-3.41791375085421,-4.24819942420653,-4.14830317139193,-3.4466173053069,-2.10260348859455,-2.22324260012076,-3.498897725255,-2.2415740076125,-4.25784602226054,-2.45111087322163,-4.00003886772774,-3.8596445666336,-2.35949447014538,-3.50062623458645,-3.48488268151464,-3.24535348093177,-3.24571049830379,-0.908865329159887,-1.89827343661194,-2.09362275546952,-2.15351018670028,-1.56431107782842,-1.47669442954229,-1.99999044034555
3,OTU_299,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Unassigned,1.67165546100117,2.0541470494933,4.07499464001334,3.60972189486502,2.89452637797334,3.24228130119296,1.92014450051608,2.44251761577621,3.66366026977565,3.68823255288101,3.55092783895867,2.98417037789748,2.54935696944612,2.78242497912872,2.78653584059312,2.54329924538669,3.1693606401989,3.20302814115523,2.48217737247658,2.64394889582866,-4.17744296438428,-3.92891645389576,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-1.11117684996379,-4.78919325546734,-4.16417072028359,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-1.95900707207448,-3.41791375085421,-4.24819942420653,-2.05955081351527,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-3.42550166035576,-3.29411583028045,-4.17612431208767
4,OTU_236,1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Propionivibrio,Unassigned,-0.847326931646318,-0.161206108800465,-1.39814838692153,-1.08481277562511,-0.750424416563769,-1.0813851910918,-0.330381536940976,-0.539724918486392,-1.61225677429201,-1.93341050024124,-1.0670615869414,0.261736073778295,-0.20376725688601,-0.727271175974765,-0.0953057454605624,-0.0446631730686855,-0.0665401930707397,-0.117130959818353,0.144384990767848,0.179886107660349,3.15482256901306,3.31837468954271,3.17802639759991,3.56369531402233,2.27139508806762,2.94768512491958,2.52496564303286,2.84144860389772,3.00079475998687,2.83860191712541,2.90527211765261,2.61370780521106,2.90283338145882,2.97874337237372,2.46083639707949,2.89671451789054,3.50646136433373,2.22321772747564,2.29552062179038,2.47424313146575,2.39090162886606,2.38585256990439,2.20544519651642,3.14331643791239,3.19242895556332,2.10273731002669,3.22826823270038,2.26138076891228,2.99752525202453,2.88721839152202,2.78567076728745,1.98167011789969,1.61803945248743,0.921610339123433,0.680288564586887,1.31687844157125,1.9710706272472,1.61408250618781,2.01245452360804,1.84148080077006,1.85293020681866,1.6592712463996,1.65594066525929,1.13173645759951,2.70620939011161,3.11248878557633,2.72963028510052,2.99065775310912,3.06785780544564,2.77631044253861,2.82026126814805,2.31296944918125,2.91758914905527,2.56287439287459
5,OTU_137,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Unassigned,rhenobacensis,1.72286221173109,0.570632573978212,2.1415284516377,1.97481538714249,1.83381155119147,1.12622981757,1.62389869607455,1.33977481712027,1.40606707878237,1.61812929083291,1.47032690182104,-0.160031444335036,0.770378430400076,-0.0186714537354788,-0.375232651608153,0.457045991676787,0.428368106251884,-0.061371280160385,0.236488009068011,0.591195172012926,-4.17744296438428,-3.92891645389576,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-3.97649127912696,-4.78919325546734,-4.16417072028359,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-1.99267207260955,-0.258432404496174,-3.11532545459527,-1.65773851352702,-1.80984558360041,-0.553177010112357,-1.52893159541521,-1.00924984321109,-1.15348159420251,-0.431342510239757,-0.431190944052171,-0.0614414533787535,-1.43032450456011,-1.62310443883633,-1.53826443035777,-1.0801501709558,-0.841507428647816,-1.69098172670468,-0.669457047924119,-1.49426852739993,-1.28677647930559,-0.626886980799991,-0.934851887749216,-0.809323056061137,0.0409054637259594,-0.537303279829562,-0.563575776749257,-0.44056922311383,-1.89827343661194,-0.134479752727977,0.142076479280293,-0.0877075662700033,-0.662953116750213,-4.17612431208767
6,OTU_217,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Rhodoferax,Unassigned,2.55484145861975,2.96604843774903,3.05223748032405,2.91220742411514,2.65522443314599,3.02954654570585,2.84736006373667,2.56118037562892,2.3002450042719,2.70643889100152,2.78408997396433,1.30812345516568,2.4868560023967,2.46618928727407,1.53019780825527,2.50711924121448,2.50136930574661,1.39495554689868,2.62378883349341,2.6573277267674,-4.17744296438428,-3.92891645389576,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-3.97649127912696,-4.78919325546734,-4.16417072028359,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-3.23727531057926,-3.41791375085421,-2.31787649405203,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-2.2415740076125,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-3.48488268151464,-2.14674119226366,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-3.42550166035576,-3.29411583028045,-4.17612431208767
7,OTU_298,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Unassigned,0.316338930670997,0.941398808980727,2.72412932348992,2.23726384527669,1.57096962732373,1.84129041290687,0.646860415276507,1.03217335616253,2.09808376718818,2.32018153930017,2.18342711234263,1.49866489826447,1.12932067570369,1.38427205739903,1.37452380929372,1.19454044038946,1.53044835432109,1.72258043422344,1.02163863116097,1.41927609839482,-4.17744296438428,-3.92891645389576,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-3.97649127912696,-4.78919325546734,-4.16417072028359,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-3.23727531057926,-3.41791375085421,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-2.45111087322163,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-2.15351018670028,-2.11293601248189,-3.29411583028045,-4.17612431208767
8,OTU_2,1,Bacteria,Acidobacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,2.15649736347465,2.30843078029204,1.32306418425642,1.36764213209558,0.892697428429209,0.900906628062727,1.55559238062405,1.32196436640225,0.106593510806343,0.543327781299222,0.268941968743758,-1.425693920254,-1.82411016211691,-3.0526333249074,-0.765365555796226,-1.34732829860826,-2.70465853011513,-0.455009048447359,-2.0605242417851,-2.8107455292159,-4.17744296438428,-3.92891645389576,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-3.97649127912696,-4.78919325546734,-4.16417072028359,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-1.99267207260955,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-1.00924984321109,-3.38679395428159,-3.23727531057926,-3.41791375085421,-4.24819942420653,-4.14830317139193,-3.4466173053069,-2.10260348859455,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-3.42550166035576,-3.29411583028045,-4.17612431208767
9,OTU_291,1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Unassigned,0.0223849282691901,0.850237266620128,2.45321475063849,2.16631634345443,1.17613895192788,1.35819644168845,0.214839125229675,0.773272338674452,1.74322554590544,2.00499179226335,1.94901247144667,1.00594960528811,0.798032387498503,1.14444492468395,1.2995946262063,0.811531225330581,1.3536009179321,1.55072045458631,0.722425393069773,1.18414794826127,-4.17744296438428,-1.31574095906385,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-3.97649127912696,-4.78919325546734,-4.16417072028359,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-3.42315390604196,-1.27378626732018,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-1.95900707207448,-2.28936085805855,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-2.33267722214709,-2.2415740076125,-2.33175602746523,-1.86236282454897,-2.26083741535356,-2.08980819530768,-3.91583249092071,-3.50062623458645,-3.48488268151464,-3.24535348093177,-3.24571049830379,-1.81835497608661,-1.89827343661194,-2.09362275546952,-2.15351018670028,-2.11293601248189,-1.47669442954229,-4.17612431208767
10,OTU_197,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unassigned,Albidiferax,Unassigned,1.18147186421309,1.9360832674512,1.76057398704103,1.84091771906767,1.30926327958159,1.59949402211794,1.47378775448829,1.5098164599702,0.829351345397551,1.48299135150412,1.46176323277214,-0.188033230403187,1.19010253508108,1.33086198121611,0.203910636118168,1.12562047855318,1.10940878809391,0.428879354348979,1.23376629847388,1.51890894727963,-4.17744296438428,-3.92891645389576,-3.77594784632972,-4.09245568383838,-3.8202598852156,-3.9855603046359,-3.7005062533619,-3.54294585103537,-3.80784729101932,-3.97649127912696,-4.78919325546734,-4.16417072028359,-3.60228093690946,-4.11995337119984,-3.93457153813728,-4.54096125294132,-4.00673584666827,-3.9588326277724,-4.45041450885296,-3.77877152031492,-3.42315390604196,-3.39546750082478,-3.11532545459527,-3.14197574831067,-3.0372341878808,-3.46404069857191,-2.95329610798293,-3.47987018329292,-3.38679395428159,-3.23727531057926,-3.41791375085421,-4.24819942420653,-4.14830317139193,-3.4466173053069,-3.52260055668995,-3.46856142643257,-3.498897725255,-3.56688576716975,-4.25784602226054,-4.0692430862221,-4.00003886772774,-3.8596445666336,-3.91583249092071,-3.50062623458645,-3.48488268151464,-3.24535348093177,-3.24571049830379,-3.17132090182939,-3.23841142045204,-3.22381018937939,-3.31488044097106,-2.11293601248189,-3.29411583028045,-4.17612431208767
