,3M3A,3M3B,3M3C,3M5B,3M5C,3M5A,3M7A,3M7B,3M7C,3M10A,3M10B,3M10C
0,-0.1897709439397242,-0.1065218234483463,0.3384956120353915,0.39697512162390236,-0.2038943089752293,0.18413569640116317,0.20857469263904743,-0.22406815418350548,-0.36915175361985486,-0.5393002776669391,0.02883815760497375,0.2886751345948132
1,0.34807437402231056,0.10075942180037763,-0.15127814555387256,0.0672579289274404,-0.19746705391803612,-0.13279632417528936,-0.08975484610864427,0.05754904762736478,-0.3171873087142862,0.021967490251239466,0.7673743829387187,-0.28867513459481264
2,0.22374405490128307,0.06396768244991173,-0.45738220510917776,0.36713331441215125,-0.17469832005642633,0.4542694990610196,0.45961890894602986,0.08887215629415193,-0.04884745833529668,0.1478587357138938,0.19558038173005085,-0.2886751345948127
3,-0.24721616105073016,0.03318108145690557,-0.1955817573548932,0.16624784033883702,0.0856893019672731,0.08779805983304939,-0.045878232967673196,-0.1884737333056488,0.09037578611637372,-0.7090211994541982,0.47434388771006775,-0.28867513459478694
4,-0.22721922552267754,-0.07811659396066273,-0.016787299246665898,-0.0009211579969524511,0.09163426383315142,-0.4952593023174381,-0.356893147318066,-0.67392704753123,0.21698796094249478,0.026558033971107856,0.19892327160617213,0.1392766605248605
5,-0.15306479868981906,-0.24492406638987954,-0.3097579101352004,0.3857755351469326,-0.19967175664010153,-0.205601539497918,0.1807961226457475,-0.19859450232304401,0.6712425757784288,0.001646088414862579,-0.16627802169915998,-0.19830567135262478
6,-0.876769543623157,0.32828555978002044,-0.18047214355575505,-0.08592339672516612,0.01474451006398246,0.027848896372818573,0.06399274279434777,0.06645178050585994,0.1588479289244421,0.1614405180830999,0.08304110220292213,0.12591795735242217
7,-0.0971329989902359,-0.08504026795483116,-0.6165007038545278,-0.6067115913718067,0.47866135784529584,-0.0293855282190599,-0.0293855282190599,-0.0293855282190599,-0.02938552821905988,-0.02938552821905991,-0.02938552821905991,-0.02938552821905991
8,-0.19969568807938817,-0.12345159626106038,-0.23939874801116928,0.023822929368223517,-0.2230086530178127,-0.2230086530178127,-0.14501046069141482,-0.15609359158473282,0.6563617127039081,0.5351687497837531,0.14922161039940066,0.05157231510992562
9,-0.16998473500630454,-0.0040412884486395574,0.3857171716801025,-0.11293916699324129,0.8330627396610789,-0.13603634162994727,-0.15751422842825413,-0.13184043046119212,-0.0955135328409897,-0.1130217955486536,-0.12390388833440892,-0.13272108120441725
10,-0.18504837924441792,-0.5531487495405359,0.2850702165096586,-0.3323139280280368,-0.3167804990139853,0.0980829557252542,-0.35552508688455414,0.041779263205489726,-0.07170052091658692,-0.18749933447630343,0.3032950755901453,0.3125497882175816
