"","OTU","diff.btw","diff.win","effect","wi.ep","wi.eBH","kingdom","phylum","class","order","family","genus","species"
"30","OTU_236",1.63548435418918,2.99925095425569,0.467488406483053,0.0106313175254971,0.0362276399424829,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"31","OTU_25",-4.16076935212349,2.68984103769594,-1.46604348908594,1.11922575357369e-09,5.01880391716214e-08,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","nitrospirillum","azospirillum amazonense"
"32","OTU_251",-2.3496201483083,2.43237659756506,-0.880541512681143,2.90050921044984e-06,4.0696228985836e-05,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","cytophaga","cytophaga spp."
"33","OTU_252",1.82641285934352,2.89477558420054,0.54292839086087,0.00221169085791672,0.0101411982126973,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"34","OTU_254",-1.8667616446854,3.42163492751731,-0.464488591414566,0.0120347085684307,0.0390533181393937,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","beijerinckiaceae","chelatococcus","chelatococcus spp."
"35","OTU_262",-1.1928399522706,2.09389463014817,-0.484000848853644,0.0079668693640778,0.0282165151753865,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","bradyrhizobium","bradyrhizobium sp."
"36","OTU_274",2.56477700990346,2.39019903494067,0.959903188670699,1.70183737628801e-06,2.75942817221228e-05,"bacteria","bacteroidetes","cytophagia","cytophagales","cytophagaceae","pontibacter","pontibacter sp."
"37","OTU_275",-2.07937267159192,1.56790187473439,-1.30688393044867,1.92991393780025e-09,7.41778084042179e-08,"bacteria","firmicutes","clostridia","clostridiales","eubacteriaceae","eubacterium","eubacterium sp."
"38","OTU_276",-2.48760474559024,2.75062118933057,-0.869672941696035,2.20249799228854e-05,0.000172027817484392,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"39","OTU_28",-1.15870414091609,1.78536885472584,-0.581845351351657,0.00128444342463005,0.00665709731301449,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas spp."
"40","OTU_284",-1.22657137788203,2.0744716612666,-0.572788597981716,0.00293496818763527,0.0140742356817172,"bacteria","proteobacteria","gammaproteobacteria","enterobacteriales","enterobacteriaceae","escherichia","escherichia spp."
"41","OTU_285",1.9990623220029,2.91776138045856,0.606249282968986,0.000899082240293498,0.00465656958497414,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","inquilinus","inquilinus spp."
"42","OTU_289",-2.03926418072139,3.73337422453179,-0.460078598180317,0.0123034694651022,0.0393079941118338,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","rhodovibrio","rhodovibrio spp."
"43","OTU_297",-3.7847537692419,2.49114065218932,-1.4366418950091,1.68715352303149e-10,1.0542913443524e-08,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","pleomorphomonas","pleomorphomonas oryzae"
"44","OTU_30",2.08346160001526,2.70336868560273,0.688468003546317,0.000313059841294695,0.00215545197076397,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"45","OTU_300",1.45945341921329,2.97654305155436,0.43220562311119,0.00776237225355833,0.0273734818611704,"bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"46","OTU_315",-1.51618201827402,1.44915050996967,-0.977393590683551,7.28855765429243e-05,0.000621513189160714,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","magnetospirillum","magnetospirillum sp."
"47","OTU_321",-3.51570541686135,3.1273248484338,-1.05853770339699,1.28675387559427e-07,2.46021339880408e-06,"bacteria","proteobacteria","gammaproteobacteria","enterobacteriales","enterobacteriaceae","escherichia","escherichia vulneris"
"48","OTU_330",1.73673599186022,2.93028808131274,0.510506995451768,0.00425904772652746,0.015707401942195,"bacteria","proteobacteria","gammaproteobacteria","enterobacteriales","enterobacteriaceae","enterobacter","enterobacter spp."
"49","OTU_34",1.50641374019682,2.33772290678774,0.515889163966312,0.00187719913359003,0.00919509272715444,"bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes elegans"
"50","OTU_346",1.44841581448142,2.77045244832218,0.435255733706673,0.0144300893416808,0.0427243863398983,"bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"51","OTU_348",-3.07841624800218,3.666806841872,-0.763391572639351,6.96577267225184e-05,0.000553125671664674,"bacteria","proteobacteria","gammaproteobacteria","enterobacteriales","enterobacteriaceae","enterobacter","enterobacter sp."
"52","OTU_35",1.84370465967942,2.29704703524903,0.716405716866033,7.88167442595486e-05,0.000583626872837149,"bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","acetobacter","acetobacter spp."
