,C0C,1C3A,1C3B,1C5A,1C5B,1C7A,1C7B,1C10A,1C10B,1C20B,1C20A,2C3A,2C3B,2C5A,2C5B,2C10A,2C10B,1M3A,1M3B,1M3C,1M5A,1M5B,1M5C,1M7A,1M7B,1M7C,1M10A,1M10B,1M10C,2M3A,2M3B,2M3C,2M5A,2M5B,2M7A,2M7B,2M7C,2M10A,2M10B,2M10C,3M3A,3M3B,3M3C,3M5B,3M5C,3M5A,3M7A,3M7B,3M7C,3M10A,3M10B,3M10C,1G3A,1G3B,1G3C,1G5A,1G5B,1G5C,1G7A,1G7B,1G7C,1G10A,1G10B,1G10C,2G3A,2G3B,2G3C,2G5A,2G5B,2G5C,2G7A,2G7B,2G7C,2G10A,2G10B,2G10C,3G3A,3G3B,3G3C,3G5A,3G5B,3G5C,3G7A,3G7B,3G7C,3G10A,3G10B
cloacibacterium normanense,6,4,6,3,0,2,0,0,0,1,1,6,35,0,0,1,2,8,28,13,6,2,1,0,0,1,2,4,2,13,36,4,2,7,4,1,0,112,2,26,0,0,1,3,0,5,0,0,2,31,14,21,7,3,9,2,3,0,0,0,0,0,0,1,12,5,10,0,0,1,0,0,3,0,0,1,4,0,1,0,0,1,0,1,0,51,21
rhodopseudomonas rhenobacensis,6,15,23,9,11,14,16,10,3,9,3,7,11,7,17,11,10,1,2,0,0,1,0,1,0,0,1,2,1,6,17,5,8,12,7,2,0,16,2,31,1,3,0,11,7,10,10,5,11,4,5,13,5,3,5,3,10,4,1,4,2,1,4,2,23,24,21,12,7,12,14,13,12,15,14,6,3,2,5,6,12,28,21,28,15,17,16
clostridium sp.,6,0,1,0,1,2,2,1,2,2,2,0,0,0,0,0,0,1,1,0,1,1,1,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pleomorphomonas sp.,5,4,1,2,2,4,5,8,5,10,7,7,9,3,36,13,20,1,3,0,2,4,4,0,0,1,4,3,9,6,15,12,19,21,25,30,0,52,16,32,6,3,9,67,16,23,35,22,38,44,11,24,37,8,16,32,19,21,13,20,26,9,15,48,6,8,13,21,17,31,48,57,44,40,26,20,20,9,8,17,38,42,59,41,52,71,20
citrobacter spp.,5,26,53,21,47,17,8,3,6,4,3,11,27,5,14,7,21,5,4,0,5,3,3,2,0,1,2,5,3,18,37,9,27,47,26,26,0,3,0,19,6,14,49,33,12,20,6,38,23,6,9,16,43,38,29,2,4,5,2,1,2,1,2,1,5,1,2,0,1,1,2,0,1,0,0,2,10,15,14,6,13,14,8,12,26,9,2
bradyrhizobium sp.,5,1,8,14,11,10,8,10,6,20,8,9,7,2,10,4,12,0,3,0,3,0,1,0,0,0,1,2,4,1,0,11,8,4,10,9,0,7,6,4,10,6,2,15,9,12,17,12,16,8,0,3,3,0,3,3,3,3,2,4,2,3,1,3,5,3,10,9,14,15,24,40,20,10,22,12,2,2,0,5,5,5,7,7,9,8,0
acidovorax caeni,4,2,2,2,0,1,0,0,0,0,0,1,5,1,0,1,0,1,6,1,1,0,1,0,2,0,1,1,1,4,3,3,1,4,0,0,0,53,0,15,0,1,3,1,0,4,0,2,1,16,6,17,8,3,8,0,1,1,0,0,0,0,0,1,2,2,5,1,1,1,1,1,1,1,0,2,0,1,1,0,0,2,1,0,0,20,12
fibrobacter spp.,4,0,0,0,3,0,0,4,0,1,5,1,0,1,9,4,3,0,0,1,0,1,0,0,0,1,1,7,8,0,0,0,0,0,1,1,0,4,1,2,0,0,0,11,1,4,6,19,2,32,1,14,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,2,5,2,22,9,12,0,0,0,1,1,8,25,8,5,25,14
chlorobium spp.,4,0,0,1,0,0,1,5,12,2,2,0,1,1,4,0,1,1,0,1,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,6,0,9,1,4,0,0,0,2,0,0,0,6,0,4,3,2,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,1,1,3,3,9,2,2,1,0,1,0,5,13,6,8,11,4,2
desulfovibrio desulfuricans,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
