otu name,sC0C,s1C3A,s1C3B,s1G3A,s1G3B,s1G3C,s1M3A,s1M3B,s1M3C,s1M5C,s1C5A,s1C5B,s1G5A,s1G5B,s1G5C,s1M5A,s1M5B,s1C7A,s1C7B,s1G7A,s1G7B,s1G7C,s1M7A,s1M7B,s1M7C,s1C10A,s1C10B,s1G10A,s1G10B,s1G10C,s1M10A,s1M10B,s1M10C,s2C3A,s2C3B,s2G3A,s2G3B,s2G3C,s2M3A,s2M3B,s2M3C,s2C5A,s2C5B,s2G5A,s2G5B,s2G5C,s2M5A,s2M5B,s2G7A,s2G7B,s2G7C,s2M7A,s2M7B,s2C10A,s2C10B,s2G10A,s2G10B,s2G10C,s2M10B,s1C20B,s1C20A,s3G3A,s3G3B,s3G3C,s3M3A,s3M3B,s3M3C,s3G5A,s3G5B,s3G5C,s3M5A,s3M5B,s3M5C,s3G7A,s3G7B,s3G7C,s3M7A,s3M7B,s3M7C,s3M10A,s3M10B,s3M10C,s3G10A,s3G10B,s2M10A,s2M10C
OTU_170,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,3,1,0,1,0,4,0
OTU_171,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,0,0,1,0,0,0,1,0,1,2,2,1,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,1,0,7,6
OTU_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,1,2,2,2,0,0,0,0,0,0,0
OTU_173,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,2,4,2,2,0,0,2,0,2,0,1,0,1,1,4,2,1,2,2,1,3,2,0,2,1,0,0,0,1,0,0,2,0,0,3,4,4,2,4,2,2,2,2,2,2,1,5,0,3,0
OTU_174,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
OTU_175,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,2,2,0,0,1,0,1,0
OTU_176,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,0,2,0,0,2,1,0,0,1,0
OTU_177,4,1,2,2,2,4,0,1,1,0,1,2,0,0,1,0,1,2,1,0,0,1,0,0,0,4,6,0,2,7,1,0,1,1,0,0,1,2,0,0,0,0,5,0,0,1,0,0,3,7,4,1,1,1,3,9,3,2,0,3,7,1,0,0,0,0,0,1,13,20,1,2,0,20,15,20,1,6,5,15,5,6,7,9,23,8
OTU_178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_179,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
