otu name,sC0C,s1C3A,s1C3B,s1G3A,s1G3B,s1G3C,s1M3A,s1M3B,s1M3C,s1M5C,s1C5A,s1C5B,s1G5A,s1G5B,s1G5C,s1M5A,s1M5B,s1C7A,s1C7B,s1G7A,s1G7B,s1G7C,s1M7A,s1M7B,s1M7C,s1C10A,s1C10B,s1G10A,s1G10B,s1G10C,s1M10A,s1M10B,s1M10C,s2C3A,s2C3B,s2G3A,s2G3B,s2G3C,s2M3A,s2M3B,s2M3C,s2C5A,s2C5B,s2G5A,s2G5B,s2G5C,s2M5A,s2M5B,s2G7A,s2G7B,s2G7C,s2M7A,s2M7B,s2C10A,s2C10B,s2G10A,s2G10B,s2G10C,s2M10B,s1C20B,s1C20A,s3G3A,s3G3B,s3G3C,s3M3A,s3M3B,s3M3C,s3G5A,s3G5B,s3G5C,s3M5A,s3M5B,s3M5C,s3G7A,s3G7B,s3G7C,s3M7A,s3M7B,s3M7C,s3M10A,s3M10B,s3M10C,s3G10A,s3G10B,s2M10A,s2M10C
OTU_217,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_218,0,1,0,1,0,0,1,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
OTU_219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_220,2,15,40,58,22,16,15,6,7,6,14,33,3,6,17,12,5,10,7,2,8,2,2,1,8,5,3,3,2,3,6,7,10,17,22,9,1,5,19,31,13,4,7,5,2,5,24,44,3,5,5,14,12,10,18,0,2,2,5,2,1,14,18,25,12,17,41,4,15,8,42,27,24,12,13,15,18,29,27,11,8,17,21,6,8,11
OTU_222,170,251,311,387,328,498,1620,1687,1134,1949,413,245,135,231,235,2226,2397,399,537,189,172,55,693,877,1322,105,127,100,133,172,1698,1285,1674,725,985,251,179,326,895,545,597,75,260,703,464,728,628,283,74,55,58,378,319,14,15,31,29,18,658,24,86,812,915,1070,53,618,906,19,149,83,186,68,101,61,58,68,69,51,131,204,309,359,180,376,39,45
OTU_223,0,0,0,0,0,1,0,0,0,0,11,6,0,0,0,0,1,18,20,0,0,0,0,0,1,1,5,0,0,0,1,0,0,20,9,0,0,4,0,0,1,5,29,16,34,14,0,0,14,25,14,5,18,0,0,1,0,1,11,0,2,1,2,4,1,2,0,2,9,7,7,31,12,5,2,3,23,0,27,5,1,0,0,1,0,0
OTU_224,23,9,10,0,2,14,4,2,8,3,5,69,3,8,5,9,2,4,3,1,7,4,2,7,18,29,17,3,6,12,19,89,64,33,24,3,14,4,2,21,1,3,73,2,11,4,3,7,33,33,61,7,13,38,14,153,158,85,11,18,26,12,4,12,4,0,3,43,11,77,142,125,35,74,56,34,76,210,156,157,71,78,47,70,34,15
OTU_225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
OTU_226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0
OTU_227,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
OTU_228,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,1,3,0,1,0,0,0,0
OTU_230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_231,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_232,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
OTU_233,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0
OTU_234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0
OTU_235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
OTU_236,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,4,3,0,0,1,0,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0,4,5,6,1,1,0,3,3,0,0,1,0,0,0,1,0,7,1,1,0,9,2,2,1,5,4,2,2,2,6,1,1,0
OTU_237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0
OTU_238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
OTU_240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
OTU_241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_242,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,1
OTU_243,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
OTU_244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_245,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,3,0,2,1,0,0,1,3,0,1,4,6,0,3,0,2,5,1,2,4,0,0,5,3,4,3,3,12,0,2,0,2,0,1,0,19,4,7,2,1,1,59,17,21,9,4,2,34,19,23,32,10,28,15,3,17,2
OTU_246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
OTU_247,2,1,0,1,5,5,0,1,0,2,0,0,8,7,12,1,1,0,1,11,6,6,0,0,0,1,1,0,0,2,0,0,1,1,0,8,4,8,2,1,2,0,1,1,0,4,2,1,6,5,4,3,0,1,3,2,1,1,2,0,1,1,2,1,0,0,0,1,5,1,2,6,1,5,8,0,2,4,2,2,3,2,3,2,8,6
OTU_248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,1,0,0
OTU_249,2,3,4,12,4,12,0,0,0,0,1,3,13,4,1,2,3,0,0,1,1,6,0,0,0,0,1,4,0,7,0,0,0,1,1,9,2,6,3,11,11,0,3,0,1,2,7,7,4,3,8,11,1,3,16,5,4,2,3,0,1,1,3,0,2,1,2,0,6,6,1,4,2,4,6,1,1,0,3,2,0,3,8,0,43,15
OTU_250,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,1,1,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_251,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,7,0,0,0,0,0,0,6,3,0,0,0,0,0,0,12,8,0,0,1,0,0,0,6,50,18,31,15,1,1,26,36,21,2,22,1,1,0,3,3,21,1,2,2,10,4,1,7,2,1,5,18,3,25,15,13,7,6,8,5,30,10,0,6,3,2,0,0
OTU_252,9,3,2,2,1,1,4,3,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,8,0,0,1,2,0,0,1,1,0,0,0,0,0,3,1,7,0,0,0,1,2,0,0,0,6,3,4,5,5,1,2,14,5,5,0,0,0,0,0,0,3,8,18,3,7,1,3,15,8,5,2,10,12,5,3,3,3,14,1
OTU_253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
OTU_254,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,4,1,0,0,2,5,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,4,3,1,1,1,3,1,3,4,0,0,0,0,0,0
OTU_255,4,2,2,0,0,0,0,0,1,0,0,2,0,0,1,0,1,2,2,2,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,5,5,2,0,1,2,0,0,0,1,3,1,0,1,2,0,0,0,1,2,1,3,2,1,4,5,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,3,0,1,0,0,1,1,0,0,1
OTU_256,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0
OTU_257,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,2,0,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
OTU_258,0,1,0,3,0,1,0,1,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
OTU_259,114,70,98,619,437,690,85,134,95,167,49,119,2081,1740,1879,226,220,144,86,850,1032,933,27,25,90,102,105,157,316,504,127,106,132,283,136,501,597,666,377,433,333,123,372,216,254,469,365,358,645,677,789,408,333,363,353,506,422,417,224,138,95,227,171,159,111,234,95,240,563,499,495,729,168,647,687,649,294,573,366,323,191,190,435,269,456,451
OTU_260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_261,1,0,3,0,0,0,0,0,1,3,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU_262,2,1,5,0,0,2,0,3,0,1,13,9,3,3,1,2,0,8,7,0,0,1,0,0,0,8,4,1,0,2,1,0,4,7,7,3,2,4,1,0,9,2,10,8,12,14,5,4,19,31,17,7,6,4,7,7,12,9,5,15,3,1,2,0,3,5,1,3,3,5,5,9,4,2,5,7,11,4,12,3,0,1,1,0,2,1
OTU_263,3,2,3,2,0,0,0,1,1,0,5,2,2,2,0,1,0,2,3,1,0,0,1,0,1,2,0,0,0,0,0,0,1,3,5,2,4,3,2,1,1,0,2,2,1,0,1,0,4,4,0,6,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,4,3,3,1,0,3,0,0,3,3,1,1,2,2,1,9,6
OTU_264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
OTU_265,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
OTU_266,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,1,0,0,0,0,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,2,0,1,1,2
OTU_267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,2,5,0,1,0,5,10,5,2,3,0,4,0,3,1,1,0,0,0,0,0,11,2,0,3,0,2,11,15,22,3,4,0,10,3,6,2,0,2,0,0,0,0
OTU_268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,2,1,1,0,0,0
OTU_269,4,2,3,4,2,3,12,11,9,16,3,2,6,2,1,13,10,4,2,0,2,2,1,2,13,1,1,1,2,2,14,4,15,8,8,3,5,5,4,4,2,1,0,5,6,8,5,1,3,0,0,4,0,0,0,1,0,0,4,0,1,5,6,5,0,4,3,0,4,3,3,0,1,0,1,1,2,0,1,0,5,5,5,5,2,1
OTU_270,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,1,2,1,1,0,2,2,2,1,3,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,2,3,6,1,1,0,4,3,0,7,1,0,0,0,1,0,0
OTU_271,2,0,2,0,0,3,1,1,3,4,1,4,1,1,1,1,4,1,2,0,5,0,1,4,2,1,2,0,1,2,7,10,12,2,2,2,0,2,2,3,2,1,0,2,2,6,1,1,1,1,6,3,0,3,4,8,13,6,4,3,0,3,2,0,3,2,2,1,0,3,9,11,7,4,4,6,6,10,11,11,8,7,8,3,4,0
OTU_272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,0,0
OTU_273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
OTU_274,19,0,8,3,2,7,8,3,9,0,0,30,3,1,4,1,0,3,1,1,5,0,0,0,0,26,23,0,2,8,29,22,17,10,7,1,2,1,1,2,3,2,47,4,5,8,4,5,46,65,95,11,7,91,91,297,175,127,11,50,41,7,1,2,2,0,2,52,38,102,62,83,42,250,112,87,37,162,177,65,85,82,285,112,29,9
OTU_275,4,8,8,10,9,9,15,19,10,14,51,79,1,2,3,11,16,47,69,0,0,1,4,3,8,15,17,2,1,0,17,6,8,68,96,6,0,5,12,9,8,10,90,50,44,35,15,19,24,52,46,36,84,22,36,22,14,10,55,6,6,18,34,32,18,23,33,10,38,37,47,112,40,41,24,50,51,31,131,17,4,6,6,3,4,2
OTU_276,0,0,0,0,1,0,0,0,0,0,7,3,0,0,0,1,0,4,10,1,0,0,0,0,0,2,3,0,0,1,0,0,0,10,3,1,1,2,0,1,0,3,12,2,11,3,1,0,6,9,9,0,8,0,0,1,0,1,2,0,0,2,2,1,1,3,2,2,0,4,1,10,3,3,1,1,4,3,3,2,0,0,3,0,0,2
OTU_277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
OTU_278,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0
OTU_279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,1,0,0,2,0
OTU_280,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,2
OTU_283,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU_284,63,118,169,276,111,194,92,163,79,105,148,150,45,41,71,120,118,66,63,27,30,16,35,37,67,27,18,17,14,33,108,58,89,135,269,45,38,46,159,206,93,12,47,37,17,38,180,163,16,11,14,130,52,28,56,10,7,8,46,14,12,57,130,193,19,80,245,11,51,34,97,96,47,45,35,48,53,73,121,47,64,81,71,26,28,62
OTU_285,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,4,2,0,1,0,1,5,2,4,1,4,2,0,0,0,0,0,0,2,5,6,0,1,0,9,5,6,4,2,6,8,1,8,6,10,17,0
OTU_286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
OTU_287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,4,1,0,1,0,0,2,1,2,1,1
OTU_288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0
OTU_289,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,3,1,0,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,4,0,1,1,0,0,0,3,0,0,0,0,0,0,0
OTU_290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
OTU_291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_292,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,0,0,1,0,0,0,0
