VAMPS Taxonomy Matrix,Rank:species,Normalization:not_normalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LAZ_OLIN_Bv4v5--OlinTC3_1,LAZ_OLIN_Bv4v5--OlinTC3_11,LAZ_OLIN_Bv4v5--OlinTC3_12,LAZ_OLIN_Bv4v5--OlinTC3_13,LAZ_OLIN_Bv4v5--OlinTC3_16,LAZ_OLIN_Bv4v5--OlinTC3_17,LAZ_OLIN_Bv4v5--OlinTC3_18,LAZ_OLIN_Bv4v5--OlinTC3_2,LAZ_OLIN_Bv4v5--OlinTC3_21,LAZ_OLIN_Bv4v5--OlinTC3_22,LAZ_OLIN_Bv4v5--OlinTC3_3,LAZ_OLIN_Bv4v5--OlinTC3_30,LAZ_OLIN_Bv4v5--OlinTC3_31,LAZ_OLIN_Bv4v5--OlinTC3_32,LAZ_OLIN_Bv4v5--OlinTC3_33,LAZ_OLIN_Bv4v5--OlinTC3_34,LAZ_OLIN_Bv4v5--OlinTC3_35,LAZ_OLIN_Bv4v5--OlinTC3_6,LAZ_OLIN_Bv4v5--OlinTC3_7,LAZ_OLIN_Bv4v5--OlinTC3_8,LAZ_OLIN_Bv4v5--Olin_FCD_200A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_200B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_200C_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_11A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_11B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_3A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_3B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_5A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_5B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_7A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCD_Day_7B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_0_Bv4v5r,LAZ_OLIN_Bv4v5--Olin_FCF_100a_415_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_100b_415_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_100c_415_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_200a_513_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_200b_513_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_200b_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_200c_513_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_200c_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_50a_417_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_50b_415_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_50b_417_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_A_513_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_A_520_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_A_525_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_B_513_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_B_520_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_B_525_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_C_513_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_C_520_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_FCD_C_525_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_0A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_0B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_11A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_11B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_3A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_3B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_3C_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_5A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_5B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_5C_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_7A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_7B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_New_Day_7C_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_0B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_11A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_11B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_3A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_3B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_5A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_5B_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_7A_Bv4v5,LAZ_OLIN_Bv4v5--Olin_FCF_day_7B_Bv4v5
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;species_NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,2,1,0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionicimonas;paludicola,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,0,32,21,12,18,7,14,42,19,2,17,14,11,22,4,7,10,15,17,13,8,17,9,7,15,81,21,18,8,38,14,21,32,25,8,18,33,66,21,18
Bacteria;Bacteroidetes,244,303,250,267,614,909,570,543,624,1546,223,479,500,556,2497,3234,1437,405,136,142,165,232,225,776,2005,342,347,361,601,669,628,1045,1014,178,11,703,873,684,889,897,1645,21,786,395,785,864,490,896,642,378,1333,1989,724,461,2899,1450,628,1532,906,6916,3196,2503,1984,3080,2493,3055,5114,2676,960,1238,2278,2222,2267,2550
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,231,97,93,77,115,345,210,500,252,635,276,31,57,46,89,1487,71,206,86,172,1,0,0,0,1,0,1,0,0,0,0,782,733,283,78,2183,3205,781,2015,763,987,547,3858,238,312,45,293,295,17,273,521,67,165,93,1215,1138,66,82,82,3047,1862,1607,1101,1152,2012,244,3109,3196,56,142,1072,759,5939,1568
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;species_NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae,2,0,0,0,0,2,0,0,0,0,1,0,0,0,3,11,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Alkaliflexus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Mangroviflexus,1999,10768,7975,8779,13549,22205,12757,7920,1736,11492,2392,5959,7358,9452,12264,13764,13046,38285,9639,10893,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum;flexuosum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
