	Name	kingdom	taxonomy	phylum	class	order	family	genus	species
OTU_21	Bacteria;Bacteroidetes	Bacteria	Root;Bacteria;Bacteroidetes;	Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes
OTU_22	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	o_Bacteroidales
OTU_23	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	g_Bacteroides
OTU_24	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;species_NA	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Unassigned;	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	g_Bacteroides
OTU_25	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	f_Marinilabiaceae	f_Marinilabiaceae
OTU_26	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Alkaliflexus	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Alkaliflexus;	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Alkaliflexus	g_Alkaliflexus
OTU_27	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Mangroviflexus	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Mangroviflexus;	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Mangroviflexus	g_Mangroviflexus
OTU_28	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum;	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Marinifilum	g_Marinifilum
OTU_29	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum;flexuosum	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Marinifilum;flexuosum;	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Marinifilum	flexuosum
OTU_30	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	o_Bacteroidales
OTU_31	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Unassigned;	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	o_Bacteroidales
OTU_32	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas;mossii	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Unassigned;mossii;	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	o_Bacteroidales	mossii
OTU_33	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Macellibacteroides;	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	Macellibacteroides	g_Macellibacteroides
OTU_34	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Paludibacter;	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	Paludibacter	g_Paludibacter
OTU_35	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter;propionicigenes	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unassigned;Paludibacter;propionicigenes;	Bacteroidetes	Bacteroidia	Bacteroidales	o_Bacteroidales	Paludibacter	propionicigenes
OTU_36	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	f_Prevotellaceae	f_Prevotellaceae
OTU_37	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	g_Prevotella
OTU_38	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae	Bacteria	Root;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	f_Rikenellaceae	f_Rikenellaceae
OTU_39	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae	Bacteria	Root;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	f_Cytophagaceae	f_Cytophagaceae
OTU_40	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	g_Fluviicola
OTU_41	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Owenweeksia;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	g_Owenweeksia
OTU_42	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	f_Flavobacteriaceae	f_Flavobacteriaceae
OTU_43	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	g_Chryseobacterium
OTU_44	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	Bacteria	Root;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	g_Cloacibacterium
