	Name	kingdom	taxonomy	phylum	class	order	family	genus	species
OTU_88	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;fluvialis	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;fluvialis;	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	fluvialis
OTU_89	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	g_Lactobacillus
OTU_90	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;species_NA	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Unassigned;	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	g_Lactobacillus
OTU_91	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis;	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	lactis
OTU_92	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	g_Streptococcus
OTU_93	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;species_NA	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Unassigned;	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	g_Streptococcus
OTU_94	Bacteria;Firmicutes;Clostridia;Clostridiales	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;	Firmicutes	Clostridia	Clostridiales	o_Clostridiales	o_Clostridiales	o_Clostridiales
OTU_95	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	f_Christensenellaceae	f_Christensenellaceae
OTU_96	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Guggenheimella	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Guggenheimella;	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Guggenheimella	g_Guggenheimella
OTU_97	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_10	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_10;	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_10	g_Clostridium_sensu_stricto_10
OTU_98	Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	f_Defluviitaleaceae	f_Defluviitaleaceae
OTU_99	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	f_Lachnospiraceae	f_Lachnospiraceae
OTU_100	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;genus_NA;species_NA	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Unassigned;Unassigned;	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	f_Lachnospiraceae	f_Lachnospiraceae
OTU_101	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum;	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	g_Desulfotomaculum
OTU_102	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	f_Peptostreptococcaceae
OTU_103	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Anaerococcus	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Unassigned;	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	f_Peptostreptococcaceae
OTU_104	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Anaerococcus;8404299	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Unassigned;8404299;	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	8404299
OTU_105	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Fusibacter	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Fusibacter;	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Fusibacter	g_Fusibacter
OTU_106	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Fusibacter;3-D3-R-P8ASC2010	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Fusibacter;3-D3-R-P8ASC2010;	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Fusibacter	3-D3-R-P8ASC2010
OTU_107	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;genus_NA;species_NA	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Unassigned;Unassigned;	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	f_Peptostreptococcaceae
OTU_108	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Unassigned;	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	f_Ruminococcaceae	f_Ruminococcaceae
OTU_109	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	g_Incertae_Sedis
OTU_110	Bacteria;Firmicutes;Clostridia;Clostridiales;empty_family;Dethiosulfatibacter	Bacteria	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Unassigned;Dethiosulfatibacter;	Firmicutes	Clostridia	Clostridiales	o_Clostridiales	Dethiosulfatibacter	g_Dethiosulfatibacter
OTU_111	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix	Bacteria	Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	g_Erysipelothrix
OTU_112	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;genus_NA;species_NA	Bacteria	Root;Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Unassigned;Unassigned;	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	f_Erysipelotrichaceae	f_Erysipelotrichaceae
OTU_113	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae	Bacteria	Root;Bacteria;Firmicutes;Negativicutes;Unassigned;Veillonellaceae;	Firmicutes	Negativicutes	c_Negativicutes	Veillonellaceae	f_Veillonellaceae	f_Veillonellaceae
OTU_114	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;species_NA	Bacteria	Root;Bacteria;Firmicutes;Negativicutes;Unassigned;Veillonellaceae;Veillonella;Unassigned;	Firmicutes	Negativicutes	c_Negativicutes	Veillonellaceae	Veillonella	g_Veillonella
OTU_115	Bacteria;Ignavibacteria;Ignavibacteria;Ignavibacteriales	Bacteria	Root;Bacteria;Unassigned;Unassigned;Unassigned;	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria
OTU_116	Bacteria;Planctomycetes	Bacteria	Root;Bacteria;Planctomycetes;	Planctomycetes	p_Planctomycetes	p_Planctomycetes	p_Planctomycetes	p_Planctomycetes	p_Planctomycetes
OTU_117	Bacteria;Planctomycetes;Phycisphaerae	Bacteria	Root;Bacteria;Planctomycetes;Phycisphaerae;	Planctomycetes	Phycisphaerae	c_Phycisphaerae	c_Phycisphaerae	c_Phycisphaerae	c_Phycisphaerae
OTU_118	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales	Bacteria	Root;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;	Planctomycetes	Phycisphaerae	Phycisphaerales	o_Phycisphaerales	o_Phycisphaerales	o_Phycisphaerales
OTU_119	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae	Bacteria	Root;Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	f_Phycisphaeraceae	f_Phycisphaeraceae
OTU_120	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae	Bacteria	Root;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	f_Planctomycetaceae	f_Planctomycetaceae
OTU_121	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula	Bacteria	Root;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Rhodopirellula;	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	g_Rhodopirellula
OTU_122	Bacteria;Proteobacteria	Bacteria	Root;Bacteria;Proteobacteria;	Proteobacteria	p_Proteobacteria	p_Proteobacteria	p_Proteobacteria	p_Proteobacteria	p_Proteobacteria
OTU_123	Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria
OTU_124	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;	Proteobacteria	Alphaproteobacteria	Rhizobiales	o_Rhizobiales	o_Rhizobiales	o_Rhizobiales
OTU_125	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	f_Beijerinckiaceae	f_Beijerinckiaceae
OTU_126	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_127	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	g_Bradyrhizobium
OTU_128	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Nitrobacter;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Nitrobacter	g_Nitrobacter
OTU_129	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoblastus	g_Rhodoblastus
OTU_130	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;acidophilus	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;acidophilus;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoblastus	acidophilus
OTU_131	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;sphagnicola	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodoblastus;sphagnicola;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodoblastus	sphagnicola
OTU_132	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_133	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;F-1	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;F-1;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	F-1
OTU_134	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;NTUIOB_TPP1	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;NTUIOB_TPP1;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	NTUIOB_TPP1
OTU_135	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;palustris	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;palustris;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	palustris
OTU_136	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;pentothenatexigens	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;Unassigned;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_137	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;rhenobacensis	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;rhenobacensis;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	rhenobacensis
OTU_138	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;species_NA	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Unassigned;Unassigned;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	f_Bradyrhizobiaceae	f_Bradyrhizobiaceae
OTU_139	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Tardiphaga	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Tardiphaga;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Tardiphaga	g_Tardiphaga
OTU_140	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	f_Hyphomicrobiaceae	f_Hyphomicrobiaceae
OTU_141	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Ancalomicrobium	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Ancalomicrobium;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ancalomicrobium	g_Ancalomicrobium
OTU_142	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	g_Rhodomicrobium
OTU_143	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	g_Rhodoplanes
OTU_144	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;FZ35	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes;FZ35;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	FZ35
OTU_145	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	g_Methylobacterium
OTU_146	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Unassigned;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	f_Methylocystaceae	f_Methylocystaceae
OTU_147	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas;koreensis	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Unassigned;koreensis;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	f_Methylocystaceae	koreensis
OTU_148	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Pleomorphomonas;oryzae	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Unassigned;oryzae;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	f_Methylocystaceae	oryzae
OTU_149	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Cohaesibacter	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Cohaesibacter;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	g_Cohaesibacter
OTU_150	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Cohaesibacter;SJH-001	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Cohaesibacter;SJH-001;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Cohaesibacter	SJH-001
OTU_151	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	g_Phyllobacterium
OTU_152	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	g_Rhizobium
OTU_153	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	f_Xanthobacteraceae	f_Xanthobacteraceae
OTU_154	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	f_Rhodobacteraceae	f_Rhodobacteraceae
OTU_155	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Gemmobacter;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	g_Gemmobacter
OTU_156	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Haematobacter	g_Haematobacter
OTU_157	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudorhodobacter	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudorhodobacter;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	g_Pseudorhodobacter
OTU_158	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudoruegeria;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudoruegeria	g_Pseudoruegeria
OTU_159	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	g_Rhodobacter
OTU_160	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;TCRI	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;TCRI;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	TCRI
OTU_161	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;capsulatus	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;capsulatus;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	capsulatus
OTU_162	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;vinaykumaraii	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Unassigned;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	g_Rhodobacter
OTU_163	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	g_Rhodovulum
OTU_164	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;AK41	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;AK41;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	AK41
OTU_165	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;marinum	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;marinum;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	marinum
OTU_166	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;sulfidophilum	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum;sulfidophilum;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	sulfidophilum
OTU_167	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola;	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tabrizicola	g_Tabrizicola
OTU_168	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;	Proteobacteria	Alphaproteobacteria	Rhodospirillales	o_Rhodospirillales	o_Rhodospirillales	o_Rhodospirillales
OTU_169	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;16-34	Bacteria	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Unassigned;16-34;	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	f_Acetobacteraceae	16-34
