	taxonomy
OTU_246	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;rhabdoformis;
OTU_247	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;
OTU_248	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;AND1;
OTU_249	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;BerOc1;
OTU_250	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;burkinensis;
OTU_251	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;carbinoliphilus;
OTU_252	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;enrichment_culture_clone_Jdgsrb015;
OTU_253	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;hydrothermalis;
OTU_254	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;idahonensis;
OTU_255	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Desulfovibrio;termitidis;
OTU_256	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Desulfurellaceae;Desulfurella;
OTU_257	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Unassigned;Unassigned;acetoxidans;
OTU_258	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;
OTU_259	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter;
OTU_260	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;
OTU_261	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;sw026;
OTU_262	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Sulfurospirillum;
OTU_263	Root;Bacteria;Proteobacteria;Gammaproteobacteria;
OTU_264	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Unassigned;
OTU_265	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Unassigned;HT10;
OTU_266	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Unassigned;Unassigned;
OTU_267	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Aliagarivorans;
OTU_268	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;
OTU_269	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;MT6010;
OTU_270	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;MTCH3IM013;
OTU_271	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;minutissimum;
OTU_272	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;vinosum;
OTU_273	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Halochromatium;
OTU_274	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Rheinheimera;
OTU_275	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiococcus;pfennigii;
OTU_276	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus;TcyfPS10;
OTU_277	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiorhodococcus;drewsii;
OTU_278	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Thiovirga;
OTU_279	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;
OTU_280	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;
OTU_281	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;ChDC_B324;
OTU_282	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;ChDC_B325;
OTU_283	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;I91-6;
OTU_284	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;KMSI-3;
OTU_285	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;KTE151;
OTU_286	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;LSRC194;
OTU_287	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;OC9;
OTU_288	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;enrichment_culture_clone_BR19;
OTU_289	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;freundii;
OTU_290	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;Unassigned;
OTU_291	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;
OTU_292	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;B5(2012);
OTU_293	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;Unassigned;
OTU_294	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia;
OTU_295	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;Unassigned;
OTU_296	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;
OTU_297	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea;Unassigned;
OTU_298	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;
OTU_299	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella;Unassigned;
OTU_300	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Salmonella;
OTU_301	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Tatumella;
OTU_302	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Unassigned;Unassigned;
OTU_303	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella;
OTU_304	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Rickettsiella;
OTU_305	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;
OTU_306	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Unassigned;
OTU_307	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;
OTU_308	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Unassigned;
OTU_309	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Moraxellaceae;Acinetobacter;
OTU_310	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Moraxellaceae;Acinetobacter;Unassigned;
OTU_311	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Moraxellaceae;Enhydrobacter;Unassigned;
OTU_312	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Unassigned;
OTU_313	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Unassigned;Unassigned;
OTU_314	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;
OTU_315	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Catenococcus;
OTU_316	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Vibrio;
OTU_317	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Vibrio;0908;
OTU_318	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Vibrio;CAIM_1255;
OTU_319	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Vibrio;albensis;
OTU_320	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Vibrio;mediterranei;
OTU_321	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;Unassigned;Vibrio;vulnificus;
OTU_322	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Unassigned;
OTU_323	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Leptospiraceae;
OTU_324	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;
OTU_325	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;
OTU_326	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;B;
OTU_327	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;MO-SPC1;
OTU_328	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Spirochaeta;cellobiosiphila;
OTU_329	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema;
OTU_330	Root;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema;zuelzerae;
OTU_331	Root;Bacteria;Spirochaetes;
OTU_332	Root;Bacteria;Tenericutes;Mollicutes;
OTU_333	Root;Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;
OTU_334	Root;Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;
OTU_335	Root;Bacteria;Verrucomicrobia;
OTU_336	Root;Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;
OTU_337	Root;Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae;Opitutus;VeSm13;
OTU_338	Root;Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Cerasicoccus;
