	kingdom	phylum	class	order	family	genus	species
OTU_49	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	f_Flavobacteriaceae	f_Flavobacteriaceae
OTU_50	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	f_Flavobacteriaceae	discolor
OTU_51	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	o_Sphingobacteriales	o_Sphingobacteriales	o_Sphingobacteriales
OTU_52	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	f_Chitinophagaceae	f_Chitinophagaceae
OTU_53	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	f_Chitinophagaceae	f_Chitinophagaceae
OTU_54	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	f_Saprospiraceae	f_Saprospiraceae
OTU_55	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	g_Sphingobacterium
OTU_56	Bacteria	Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	Prolixibacter	g_Prolixibacter
OTU_57	Bacteria	Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	p_Bacteroidetes	Prolixibacter	bellariivorans
OTU_58	Bacteria	Chlorobi	Chlorobia	Chlorobiales	o_Chlorobiales	o_Chlorobiales	o_Chlorobiales
OTU_59	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	g_Chlorobaculum
OTU_60	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	parvum
OTU_61	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	g_Chlorobium
OTU_62	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	thalassium
OTU_63	Bacteria	Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi
OTU_64	Bacteria	Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi	p_Chloroflexi
OTU_65	Bacteria	Chloroflexi	Chloroflexi	c_Chloroflexi	c_Chloroflexi	c_Chloroflexi	c_Chloroflexi
OTU_66	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	o_Dehalococcoidales	o_Dehalococcoidales	o_Dehalococcoidales
OTU_67	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	f_Ktedonobacteraceae	f_Ktedonobacteraceae
OTU_68	Bacteria	Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria
OTU_69	Bacteria	Cyanobacteria	p_Cyanobacteria	Chroococcales	o_Chroococcales	Synechococcus	g_Synechococcus
OTU_70	Bacteria	Cyanobacteria	p_Cyanobacteria	Chroococcales	o_Chroococcales	Synechococcus	MBIC10007
OTU_71	Bacteria	Cyanobacteria	p_Cyanobacteria	Chroococcales	o_Chroococcales	Synechococcus	WH_5701
OTU_72	Bacteria	Cyanobacteria	p_Cyanobacteria	Prochlorales	Prochlorococcaceae	Prochlorococcus	g_Prochlorococcus
OTU_73	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	g_Denitrovibrio
OTU_74	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	acetiphilus
OTU_75	Bacteria	Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia
OTU_76	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	o_Fibrobacterales	o_Fibrobacterales	o_Fibrobacterales
OTU_77	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	f_Fibrobacteraceae	f_Fibrobacteraceae
OTU_78	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	g_Fibrobacter
OTU_79	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	g_Halobacillus
OTU_80	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	humicus
OTU_81	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	g_Staphylococcus
OTU_82	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	g_Staphylococcus
OTU_83	Bacteria	Firmicutes	Bacilli	Bacillales	o_Bacillales	Gemella	g_Gemella
OTU_84	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	g_Aerococcus
OTU_85	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes	g_Atopostipes
OTU_86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis
OTU_87	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	g_Enterococcus
OTU_88	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	fluvialis
OTU_89	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	g_Lactobacillus
OTU_90	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	g_Lactobacillus
OTU_91	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	lactis
OTU_92	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	g_Streptococcus
OTU_93	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	g_Streptococcus
OTU_94	Bacteria	Firmicutes	Clostridia	Clostridiales	o_Clostridiales	o_Clostridiales	o_Clostridiales
OTU_95	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	f_Christensenellaceae	f_Christensenellaceae
OTU_96	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Guggenheimella	g_Guggenheimella
OTU_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_10	g_Clostridium_sensu_stricto_10
OTU_98	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	f_Defluviitaleaceae	f_Defluviitaleaceae
OTU_99	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	f_Lachnospiraceae	f_Lachnospiraceae
OTU_100	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	f_Lachnospiraceae	f_Lachnospiraceae
OTU_101	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	g_Desulfotomaculum
OTU_102	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	f_Peptostreptococcaceae
OTU_103	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	f_Peptostreptococcaceae
OTU_104	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	8404299
OTU_105	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Fusibacter	g_Fusibacter
OTU_106	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Fusibacter	3-D3-R-P8ASC2010
OTU_107	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	f_Peptostreptococcaceae	f_Peptostreptococcaceae
OTU_108	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	f_Ruminococcaceae	f_Ruminococcaceae
OTU_109	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	g_Incertae_Sedis
OTU_110	Bacteria	Firmicutes	Clostridia	Clostridiales	o_Clostridiales	Dethiosulfatibacter	g_Dethiosulfatibacter
OTU_111	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	g_Erysipelothrix
OTU_112	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	f_Erysipelotrichaceae	f_Erysipelotrichaceae
OTU_113	Bacteria	Firmicutes	Negativicutes	c_Negativicutes	Veillonellaceae	f_Veillonellaceae	f_Veillonellaceae
OTU_114	Bacteria	Firmicutes	Negativicutes	c_Negativicutes	Veillonellaceae	Veillonella	g_Veillonella
OTU_115	Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria	k_Bacteria
OTU_116	Bacteria	Planctomycetes	p_Planctomycetes	p_Planctomycetes	p_Planctomycetes	p_Planctomycetes	p_Planctomycetes
OTU_117	Bacteria	Planctomycetes	Phycisphaerae	c_Phycisphaerae	c_Phycisphaerae	c_Phycisphaerae	c_Phycisphaerae
OTU_118	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	o_Phycisphaerales	o_Phycisphaerales	o_Phycisphaerales
OTU_119	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	f_Phycisphaeraceae	f_Phycisphaeraceae
OTU_120	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	f_Planctomycetaceae	f_Planctomycetaceae
OTU_121	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	g_Rhodopirellula
OTU_122	Bacteria	Proteobacteria	p_Proteobacteria	p_Proteobacteria	p_Proteobacteria	p_Proteobacteria	p_Proteobacteria
OTU_123	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria
OTU_124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	o_Rhizobiales	o_Rhizobiales	o_Rhizobiales
