featureID	D_start_200A	D_start_200B	D_start_200C	D_011A	D_011B	D_003A	D_003B	D_005A	D_005B	D_007A	D_007B	F_000A	LF_start_100A	LF_start_100B	LF_start_100C	LF_start_200A	LF_start_200B	LF_start_200B2	LF_start_200C	LF_start_200C2	LF_start_050A	LF_start_050B	LF_start_050B2	LF_000B	LF_011A	LF_011B	LF_003A	LF_003B	LF_005A	LF_005B	LF_007A	LF_007B	FD_004A	FD_010A	FD_015A	FD_004B	FD_010B	FD_015B	FD_004C	FD_010C	FD_015C	LFa_000A	LFa_000B	LFa_011A	LFa_011B	LFa_003A	LFa_003B	LFa_003C	LFa_005A	LFa_005B	LFa_005C	LFa_007A	LFa_007B	LFa_007C	F_000D	F_005D	Fa_005D	Fn_005D	F_007D	Fa_007D	Fn_007D	Fa_000D	F_011D	Fa_011D	Fn_000D	F_014D	F_014E	Fa_014D	Fa_014E	Fn_014D	Fn_014E	F_003D	Fa_003D	Fn_003D
OTU_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_44	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	4	0	4	1	2	0	0	2	1	10	80	54	45	87	435	171	44	184	421	6	384	623	356	446	3690	127	105	25	53
OTU_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	3	0	0	4	0	0	0	0
OTU_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	1	4	5	0	1	0	0
OTU_47	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	3	0	0	1	0
OTU_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
OTU_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_51	243	376	306	2258	4501	780	1280	487	603	860	603	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	1	2	2	275	4858	1953	564	4645	1106	581	6415	3773	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
OTU_52	6	8	9	31	89	67	99	9	33	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	2	7	4	4	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	3	0	9	0	7	3	3	2	2	18	2	12	1	1	0
