,leading_eigenvalue,leading_eigenvalues_percentage_explained_variance
0,16.967550599636038,76.16343210349453
1,14.361115212859392,79.01978166935689
2,10.200763648179556,60.85121579299503
3,7.020421849233463,78.23225863681685
4,6.044939763590056,81.20288165651594
5,5.672204181152679,89.37194520190542
6,4.824906787472307,86.22120558443088
7,5.196152422706635,100.0
8,3.990947984172762,88.4870322909591
9,4.0860708821963705,92.75541807962794
10,4.050834728334364,91.16256664599855
11,4.242640687119287,100.0
12,4.2426406871192865,100.0
