,1M3A,1M3B,1M3C,1M5A,1M5B,1M5C,1M7A,1M7B,1M7C,1M10A,1M10B,1M10C
0,0.004458513992311196,-0.6039317622989478,0.3518291770846817,-0.4856968522536396,0.24750980158394215,0.16631932516869202,-0.2612813920810793,0.09552010258090544,0.0567393257461855,-0.14086669643139801,0.05338501446794557,-0.28867513459481337
1,-0.11506814483963095,-0.2726376235490438,0.022831589794660486,0.2032139716586897,0.11743668628743674,0.07582390354731569,-0.3038321063218124,0.08375431160959865,0.2774513718632453,0.14622436723814813,-0.7550147764527826,0.28867513459481275
2,-0.0629677439553505,0.4305932630599117,0.20921005400000414,0.12845459496333703,0.257640918938341,0.2233637338626849,-0.3057072678468898,0.04585396820425263,-0.6710200272253242,-0.06953165426925503,-0.009460096168774235,-0.28867513459481564
3,-0.2275470429622615,-0.01317635348928213,0.14662873758263653,-0.1791535928950906,-0.14676350447192754,0.25402335248409524,-0.006398571922461977,-0.06130183364425814,-0.1552276608188394,-0.5887448244696614,0.49776098621001474,0.4313981798950426
4,-0.9574271077563383,-0.2886751345948129,-1.0818464151345062e-16,1.377527209916337e-17,2.3599531992046298e-20,-1.9829657697113882e-17,-1.0307228492147861e-17,-6.466756647045058e-18,-6.466756647045058e-18,-3.0711618907067547e-18,3.720027621969852e-18,-1.763332290096337e-17
5,-0.15221938037544155,-0.05793514596157335,-0.05137635569196659,-0.11180302251284192,0.43609388660391823,-0.15547199531860786,-0.15547199531860786,-0.15547199531860786,-0.15547199531860786,0.5082613303489383,-0.2794244071441021,0.5788451527401091
6,-0.0870388279778489,-0.8768338795974878,0.47284943693977305,-2.86672836246032e-16,-7.945482558671772e-18,-7.945482558671772e-18,-7.945482558671772e-18,3.3687880864771598e-18,-4.174059010288794e-18,-4.174059010288794e-18,2.4259321993814157e-18,-1.186461049828537e-17
7,-0.19690662016531987,-0.6555519695828655,0.05572169014744544,0.15394383559361502,0.1541473755701483,0.15328208988589367,0.16495048613572097,0.16495048613572097,-0.5732967549557698,0.15532345089451113,0.1516523725371776,0.16495048613572091
8,-0.0870388279778489,-0.9307157572366522,0.07546035370071044,0.2737590853833354,0.07546035370071043,0.07546035370071044,0.07546035370071046,0.07546035370071047,0.07546035370071048,0.0754603537007105,0.07546035370071051,0.07546035370071054
9,-0.18173643767680892,0.245006381150679,-0.007655639615340873,-0.17715835605390745,0.1259965392830832,-0.1812120089632799,0.8727975496996363,-0.03919890174765219,-0.0795372078809945,0.16829085320454854,-0.14539705662971505,-0.0876739923136401
10,-0.08703882797784913,-0.9854661094500553,-0.04388409117927281,-0.04388409117927281,-0.04388409117927279,-0.04388409117927279,-0.04388409117927279,-0.04388409117927278,-0.04388409117927278,-0.06283683968770154,-0.043884091179272784,-0.043884091179272784
11,-0.18973474016838893,-0.06039880123044311,0.6625858953231007,-0.20859331806291853,0.3659388102833978,-0.20859331806291853,-0.20859331806291853,-0.20859331806291853,-0.20859331806291853,-0.20859331806291853,0.28782499065739675,-0.20859331806291853
