,leading_eigenvalue,leading_eigenvalues_percentage_explained_variance
0,12.210339780424295,57.34322982823539
1,10.629413593159118,75.32295555629062
2,8.440670820785426,54.80378761912198
3,8.922600458774115,79.61279894691599
4,5.91224805578188,69.90935414619327
5,6.4697092529751385,83.71427563606431
6,5.672602546958593,80.44604913940279
7,5.630071070789965,79.24425065536515
8,5.9554366250677155,88.66806348799486
9,6.209969418474903,96.40930044598376
10,6.199837460456075,96.09496134018602
11,4.306449187407537,92.72752301861516
12,4.253315312473413,90.453455736604
13,4.26553860840556,90.97409809899219
