,test_id,R2,p_value,p_value_dispersion,adjusted_p_value,significant
92,lC_vs_lG_OTU-level,0.37395544412056,9.99900009999e-05,0.1,9.99900009999e-05,TRUE
96,lC_vs_lG_order,0.462659178452052,9.99900009999e-05,0.062,9.99900009999e-05,TRUE
98,lC_vs_lG_phylum,0.560375912162145,9.99900009999e-05,0.468,9.99900009999e-05,TRUE
99,lG_vs_lM_OTU-level,0.154404401361576,0.0011998800119988,0.288,0.0011998800119988,TRUE
100,lG_vs_lM_species,0.167570102194915,0.0007999200079992,0.349,0.0007999200079992,TRUE
101,lG_vs_lM_genus,0.180489514816575,0.0007999200079992,0.163,0.0007999200079992,TRUE
102,lG_vs_lM_family,0.166727757691329,0.0007999200079992,0.091,0.0007999200079992,TRUE
103,lG_vs_lM_order,0.156608352057145,0.0054994500549945,0.433,0.0054994500549945,TRUE
104,lG_vs_lM_class,0.190264692160842,0.0004999500049995,0.652,0.0004999500049995,TRUE
106,lC_vs_pG_OTU-level,0.375652824201203,9.99900009999e-05,0.074,9.99900009999e-05,TRUE
120,lC_vs_mC_OTU-level,0.331917510410197,0.0001999800019998,0.099,0.0001999800019998,TRUE
121,lC_vs_mC_species,0.331211077185691,9.99900009999e-05,0.107,9.99900009999e-05,TRUE
126,lC_vs_mC_phylum,0.468180622887691,0.0002999700029997,0.095,0.0002999700029997,TRUE
127,lC_vs_mG_OTU-level,0.466359393478766,9.99900009999e-05,0.388,9.99900009999e-05,TRUE
128,lC_vs_mG_species,0.433161419784787,9.99900009999e-05,0.259,9.99900009999e-05,TRUE
129,lC_vs_mG_genus,0.44441204239356,9.99900009999e-05,0.227,9.99900009999e-05,TRUE
130,lC_vs_mG_family,0.464221768868101,9.99900009999e-05,0.139,9.99900009999e-05,TRUE
131,lC_vs_mG_order,0.435314901242122,9.99900009999e-05,0.103,9.99900009999e-05,TRUE
132,lC_vs_mG_class,0.396533587257106,9.99900009999e-05,0.057,9.99900009999e-05,TRUE
133,lC_vs_mG_phylum,0.582261648344239,9.99900009999e-05,0.535,9.99900009999e-05,TRUE
134,lC_vs_mM_OTU-level,0.401332751306226,9.99900009999e-05,0.617,9.99900009999e-05,TRUE
135,lC_vs_mM_species,0.376992434552126,9.99900009999e-05,0.547,9.99900009999e-05,TRUE
136,lC_vs_mM_genus,0.38469473013716,9.99900009999e-05,0.426,9.99900009999e-05,TRUE
137,lC_vs_mM_family,0.394609521543218,9.99900009999e-05,0.362,9.99900009999e-05,TRUE
138,lC_vs_mM_order,0.383267516654943,9.99900009999e-05,0.268,9.99900009999e-05,TRUE
139,lC_vs_mM_class,0.371226853857876,9.99900009999e-05,0.192,9.99900009999e-05,TRUE
140,lC_vs_mM_phylum,0.472355530190208,9.99900009999e-05,0.717,9.99900009999e-05,TRUE
